card_number,name,team,designations
83A-ABR,Alex Bregman,Houston Astros,
83A-ADI,Aledmys Diaz,St. Louis Cardinals,
83A-AN,Aaron Nola,Philadelphia Phillies,
83A-AP,Andy Pettitte,New York Yankees,
83A-ARO,Amed Rosario,New York Mets,RC
83A-BF,Brandon Finnegan,Cincinnati Reds,
83A-BL,Barry Larkin,Cincinnati Reds,
83A-CF,Clint Frazier,New York Yankees,RC
83A-CR,Cal Ripken Jr.,Baltimore Orioles,
83A-CSE,Corey Seager,Los Angeles Dodgers,
83A-DD,David Dahl,Colorado Rockies,
83A-DMA,Don Mattingly,New York Yankees,
83A-ET,Eric Thames,Milwaukee Brewers,
83A-GB,Greg Bird,New York Yankees,
83A-HA,Hank Aaron,Atlanta Braves,
83A-HR,Hunter Renfroe,San Diego Padres,
83A-IH,Ian Happ,Chicago Cubs,
83A-JBA,Jeff Bagwell,Houston Astros,
83A-JBZ,Javier Baez,Chicago Cubs,
83A-JCA,Jose Canseco,Oakland Athletics,
83A-JHO,Jeff Hoffman,Colorado Rockies,
83A-KBR,Kris Bryant,Chicago Cubs,
83A-KD,Khris Davis,Oakland Athletics,
83A-KGL,Koda Glover,Washington Nationals,
83A-KSE,Kyle Seager,Seattle Mariners,
83A-LW,Luke Weaver,St. Louis Cardinals,
83A-MMA,Manny Machado,Baltimore Orioles,
83A-MMG,Mark McGwire,Oakland Athletics,
83A-MTR,Mike Trout,Angels,
83A-OAL,Ozzie Albies,Atlanta Braves,RC
83A-OV,Omar Vizquel,Cleveland Indians,
83A-TAN,Tim Anderson,Chicago White Sox,
83A-TGS,Tyler Glasnow,Pittsburgh Pirates,
83A-TS,Trevor Story,Colorado Rockies,
83A-ABA,Anthony Banda,Arizona Diamondbacks,RC
83A-ADU,Adam Duvall,Cincinnati Reds,
83A-AJN,Andruw Jones,Atlanta Braves,
83A-AJO,Adam Jones,Baltimore Orioles,
83A-ASL,Aaron Slegers,Minnesota Twins,RC
83A-AST,Andrew Stevenson,Washington Nationals,RC
83A-AV,Alex Verdugo,Los Angeles Dodgers,RC
83A-AW,Alex Wood,Los Angeles Dodgers,
83A-BG,Ben Gamel,Seattle Mariners,
83A-BP,Boog Powell,Oakland Athletics,
83A-BPH,Brett Phillips,Milwaukee Brewers,
83A-BW,Brandon Woodruff,Milwaukee Brewers,RC
83A-CCA,Carlos Carrasco,Cleveland Indians,
83A-CSA,Chris Sale,Boston Red Sox,
83A-DGE,Domingo German,New York Yankees,
83A-DSI,Dominic Smith,New York Mets,RC
83A-DSM,Drew Smyly,Seattle Mariners,
83A-DST,Darryl Strawberry,New York Mets,
83A-ED,Eric Davis,Cincinnati Reds,
83A-FME,Francisco Mejia,Cleveland Indians,RC
83A-GC,Garrett Cooper,New York Yankees,RC
83A-GMA,Greg Maddux,Atlanta Braves,
83A-GS,Gary Sanchez,New York Yankees,
83A-HB,Harrison Bader,St. Louis Cardinals,RC
83A-JBR,Jose Berrios,Minnesota Twins,
83A-JCR,J.P. Crawford,Philadelphia Phillies,RC
83A-JD,J.D. Davis,Houston Astros,RC
83A-JE,Jerad Eickhoff,Philadelphia Phillies,
83A-JF,Jacob Faria,Tampa Bay Rays,
83A-JHA,Josh Hader,Milwaukee Brewers,
83A-JST,Jackson Stephens,Cincinnati Reds,RC
83A-JTH,Jim Thome,Cleveland Indians,
83A-JW,Jesse Winker,Cincinnati Reds,
83A-KBO,Keon Broxton,Milwaukee Brewers,
83A-LG,Lucas Giolito,Chicago White Sox,
83A-MA,Miguel Andujar,New York Yankees,RC
83A-MC,Mike Clevinger,Cleveland Indians,
83A-MF,Max Fried,Atlanta Braves,RC
83A-MK,Max Kepler,Minnesota Twins,
83A-ML,Mark Leiter,Philadelphia Phillies,
83A-MO,Matt Olson,Oakland Athletics,
83A-ND,Nicky Delmonico,Chicago White Sox,RC
83A-PB,Paul Blackburn,Oakland Athletics,RC
83A-PBR,Parker Bridwell,Angels,RC
83A-PD,Paul DeJong,St. Louis Cardinals,
83A-RD,Rafael Devers,Boston Red Sox,RC
83A-RM,Ryan McMahon,Colorado Rockies,RC
83A-RS,Ryne Sandberg,Chicago Cubs,
83A-SS,Steven Souza Jr.,Tampa Bay Rays,
83A-TW,Tyler Wade,New York Yankees,RC
83A-VR,Victor Robles,Washington Nationals,RC
83A-WB,Wade Boggs,Boston Red Sox,
83A-ZG,Zack Granite,Minnesota Twins,RC
