card_number,name,team,designations
83A-AO,Adam Jones,Baltimore Orioles,
83A-BD,Brian Dozier,Minnesota Twins,
83A-BH,Bryce Harper,Washington Nationals,
83A-BL,Barry Larkin,Cincinnati Reds,
83A-CR,Cal Ripken Jr.,Baltimore Orioles,
83A-CS,Chris Sale,Boston Red Sox,
83A-CY,Clayton Kershaw,Los Angeles Dodgers,
83A-DA,Don Mattingly,New York Yankees,
83A-DG,Dwight Gooden,New York Mets,
83A-DJ,Derek Jeter,New York Yankees,
83A-DS,Darryl Strawberry,New York Mets,
83A-FT,Frank Thomas,Chicago White Sox,
83A-GA,Gary Sanchez,New York Yankees,
83A-JC,Jose Canseco,Oakland Athletics,
83A-JL,Jake Lamb,Arizona Diamondbacks,
83A-JM,John Smoltz,Atlanta Braves,
83A-JR,Jose Ramirez,Cleveland Indians,
83A-JS,Justin Smoak,Toronto Blue Jays,
83A-JU,Justin Upton,Angels,
83A-JV,Joey Votto,Cincinnati Reds,
83A-KB,Kris Bryant,Chicago Cubs,
83A-MG,Mark McGwire,Oakland Athletics,
83A-MM,Manny Machado,Baltimore Orioles,
83A-MT,Mike Trout,Angels,
83A-NS,Noah Syndergaard,New York Mets,
83A-OS,Ozzie Smith,St. Louis Cardinals,
83A-PG,Paul Goldschmidt,Arizona Diamondbacks,
83A-RR,Rod Carew,California Angels,
83A-RS,Ryne Sandberg,Chicago Cubs,
83A-WB,Wade Boggs,Boston Red Sox,
83A-YM,Yadier Molina,St. Louis Cardinals,
MVPA-AB,Adrian Beltre,Texas Rangers,
MVPA-AJ,Aaron Judge,New York Yankees,
MVPA-BB,Byron Buxton,Minnesota Twins,
MVPA-BH,Bryce Harper,Washington Nationals,
MVPA-BP,Buster Posey,San Francisco Giants,
MVPA-CK,Clayton Kershaw,Los Angeles Dodgers,
MVPA-FF,Freddie Freeman,Atlanta Braves,
MVPA-FL,Francisco Lindor,Cleveland Indians,
MVPA-JA,Jose Altuve,Houston Astros,
MVPA-JE,Jose Abreu,Chicago White Sox,
MVPA-JV,Joey Votto,Cincinnati Reds,
MVPA-KB,Kris Bryant,Chicago Cubs,
MVPA-KD,Khris Davis,Oakland Athletics,
MVPA-MM,Manny Machado,Baltimore Orioles,
MVPA-MT,Mike Trout,Angels,
MVPA-NS,Noah Syndergaard,New York Mets,
MVPA-PG,Paul Goldschmidt,Arizona Diamondbacks,
MVPA-RH,Rhys Hoskins,Philadelphia Phillies,RC
MVPA-SP,Salvador Perez,Kansas City Royals,
MVPA-YM,Yadier Molina,St. Louis Cardinals,
ASPA-AK,Al Kaline,Detroit Tigers,
ASPA-CF,Carlton Fisk,Boston Red Sox,
ASPA-CJ,Cal Ripken Jr.,Baltimore Orioles,
ASPA-CR,Cal Ripken Jr.,Baltimore Orioles,
ASPA-DA,Don Mattingly,New York Yankees,
ASPA-DG,Dwight Gooden,New York Mets,
ASPA-DM,Don Mattingly,New York Yankees,
ASPA-DN,Duke Snider,Brooklyn Dodgers,
ASPA-DS,Darryl Strawberry,New York Yankees,
ASPA-HA,Hank Aaron,Milwaukee Braves,
ASPA-JB,Johnny Bench,Cincinnati Reds,
ASPA-MM,Mark McGwire,Oakland Athletics,
ASPA-OS,Ozzie Smith,St. Louis Cardinals,
ASPA-RC,Rod Carew,California Angels,
ASPA-RH,Rickey Henderson,Oakland Athletics,
ASPA-RJ,Reggie Jackson,New York Yankees,
ASPA-RS,Ryne Sandberg,Chicago Cubs,
ASPA-RY,Robin Yount,Milwaukee Brewers,
ASPA-WB,Wade Boggs,Boston Red Sox,
IDMLA-AB,Adrian Beltre,Texas Rangers,
IDMLA-AO,Adam Jones,Baltimore Orioles,
IDMLA-AR,Anthony Rizzo,Chicago Cubs,
IDMLA-BD,Brian Dozier,Minnesota Twins,
IDMLA-CA,Chris Sale,Boston Red Sox,
IDMLA-CK,Clayton Kershaw,Los Angeles Dodgers,
IDMLA-CU,Corey Kluber,Cleveland Indians,
IDMLA-DG,Didi Gregorius,New York Yankees,
IDMLA-DP,Dustin Pedroia,Boston Red Sox,
IDMLA-FL,Francisco Lindor,Cleveland Indians,
IDMLA-GP,George Springer,Houston Astros,
IDMLA-GS,Gary Sanchez,New York Yankees,
IDMLA-JA,Jose Altuve,Houston Astros,
IDMLA-JG,Joey Gallo,Texas Rangers,
IDMLA-JM,Jose Ramirez,Cleveland Indians,
IDMLA-JV,Joey Votto,Cincinnati Reds,
IDMLA-KB,Kris Bryant,Chicago Cubs,
IDMLA-MM,Manny Machado,Baltimore Orioles,
IDMLA-PG,Paul Goldschmidt,Arizona Diamondbacks,
IDMLA-SP,Salvador Perez,Kansas City Royals,
IDMLA-TM,Trey Mancini,Baltimore Orioles,
IDMLA-YO,Yadier Molina,St. Louis Cardinals,
