card_number,name,team,designations
DJH-1,Derek Jeter,New York Yankees,
DJH-2,Derek Jeter,New York Yankees,
DJH-3,Derek Jeter,New York Yankees,
DJH-4,Derek Jeter,New York Yankees,
DJH-5,Derek Jeter,New York Yankees,
DJH-6,Derek Jeter,New York Yankees,
DJH-7,Derek Jeter,New York Yankees,
DJH-8,Derek Jeter,New York Yankees,
DJH-9,Derek Jeter,New York Yankees,
DJH-10,Derek Jeter,New York Yankees,
DJH-11,Derek Jeter,New York Yankees,
DJH-12,Derek Jeter,New York Yankees,
DJH-13,Derek Jeter,New York Yankees,
DJH-14,Derek Jeter,New York Yankees,
DJH-15,Derek Jeter,New York Yankees,
