card_number,name,team,designations
IIA-AJ,Aaron Judge,New York Yankees,
IIA-AK,Al Kaline,Detroit Tigers,
IIA-AO,Andruw Jones,Atlanta Braves,
IIA-AR,Amed Rosario,New York Mets,RC
IIA-BH,Bryce Harper,Washington Nationals,
IIA-BW,Billy Williams,Chicago Cubs,
IIA-CC,Carlos Correa,Houston Astros,
IIA-DG,Dwight Gooden,New York Mets,
IIA-DP,Dustin Pedroia,Boston Red Sox,
IIA-DS,Darryl Strawberry,New York Mets,
IIA-FL,Francisco Lindor,Cleveland Indians,
IIA-GS,Gary Sanchez,New York Yankees,
IIA-I,Ichiro,Seattle Mariners,
IIA-JB,Jeff Bagwell,Houston Astros,
IIA-JC,Jose Canseco,Oakland Athletics,
IIA-MM,Mark McGwire,Oakland Athletics,
IIA-NG,Nomar Garciaparra,Boston Red Sox,
IIA-Pd,Paul deJong,St. Louis Cardinals,
IIA-RC,Rod Carew,Minnesota Twins,
IIA-RD,Rafael Devers,Boston Red Sox,RC
IIA-RH,Rhys Hoskins,Philadelphia Phillies,RC
IIA-SO,Shohei Ohtani,Angels,RC
IIA-TM,Trey Mancini,Baltimore Orioles,
IIA-TR,Tim Raines,Montréal Expos,
IIA-VR,Victor Robles,Washington Nationals,RC
AJA-1,Aaron Judge,New York Yankees,
AJA-2,Aaron Judge,New York Yankees,
AJA-3,Aaron Judge,New York Yankees,
AJA-4,Aaron Judge,New York Yankees,
AJA-5,Aaron Judge,New York Yankees,
AJA-6,Aaron Judge,New York Yankees,
AJA-7,Aaron Judge,New York Yankees,
AJA-8,Aaron Judge,New York Yankees,
AJA-9,Aaron Judge,New York Yankees,
AJA-10,Aaron Judge,New York Yankees,
AJA-11,Aaron Judge,New York Yankees,
AJA-12,Aaron Judge,New York Yankees,
AJA-13,Aaron Judge,New York Yankees,
AJA-14,Aaron Judge,New York Yankees,
AJA-15,Aaron Judge,New York Yankees,
AJA-16,Aaron Judge,New York Yankees,
AJA-17,Aaron Judge,New York Yankees,
AJA-18,Aaron Judge,New York Yankees,
AJA-19,Aaron Judge,New York Yankees,
AJA-20,Aaron Judge,New York Yankees,
