card_number,name,team,designations
LTMA-AR,Anthony Rizzo,Chicago Cubs,
LTMA-CA,Chris Sale,Boston Red Sox,
LTMA-CB,Cody Bellinger,Los Angeles Dodgers,
LTMA-CC,Carlos Correa,Houston Astros,
LTMA-CS,Corey Seager,Los Angeles Dodgers,
LTMA-FF,Freddie Freeman,Atlanta Braves,
LTMA-JV,Joey Votto,Cincinnati Reds,
LTMA-KB,Kris Bryant,Chicago Cubs,
LTMA-MM,Manny Machado,Baltimore Orioles,
LTMA-MT,Mike Trout,Angels,
LTMA-NS,Noah Syndergaard,New York Mets,
LTMA-PG,Paul Goldschmidt,Arizona Diamondbacks,
LTMA-YM,Yoan Moncada,Chicago White Sox,
