card_number,name,team,designations
LLA-AI,Anthony Rizzo,Chicago Cubs,
LLA-AJ,Aaron Judge,New York Yankees,
LLA-BH,Bryce Harper,Washington Nationals,
LLA-BJ,Bo Jackson,Kansas City Royals,
LLA-DO,David Ortiz,Boston Red Sox,
LLA-DS,Darryl Strawberry,New York Mets,
LLA-FT,Frank Thomas,Chicago White Sox,
LLA-GS,Gary Sanchez,New York Yankees,
LLA-HA,Hank Aaron,Milwaukee Braves,
LLA-JC,Jose Canseco,Oakland Athletics,
LLA-JG,Joey Gallo,Texas Rangers,
LLA-JL,Jake Lamb,Arizona Diamondbacks,
LLA-JP,Joc Pederson,Los Angeles Dodgers,
LLA-JR,Jon Gray,Colorado Rockies,
LLA-JT,Jim Thome,Cleveland Indians,
LLA-JV,Joey Votto,Cincinnati Reds,
LLA-KB,Kris Bryant,Chicago Cubs,
LLA-KD,Khris Davis,Oakland Athletics,
LLA-KS,Kyle Schwarber,Chicago Cubs,
LLA-MA,Manny Machado,Baltimore Orioles,
LLA-MC,Mark McGwire,Oakland Athletics,
LLA-MM,Mark McGwire,St. Louis Cardinals,
LLA-MO,Matt Olson,Oakland Athletics,
LLA-MT,Mike Trout,Angels,
LLA-NS,Noah Syndergaard,New York Mets,
LLA-PG,Paul Goldschmidt,Arizona Diamondbacks,
LLA-RJ,Reggie Jackson,Oakland Athletics,
LLA-WC,Willson Contreras,Chicago Cubs,
