card_number,name,team,designations
ODA-AB,Andrew Benintendi,Boston Red Sox,
ODA-AE,Adrian Beltre,Texas Rangers,
ODA-CB,Cody Bellinger,Los Angeles Dodgers,
ODA-CC,Carlos Correa,Houston Astros,
ODA-EL,Evan Longoria,Tampa Bay Rays,
ODA-ET,Eric Thames,Milwaukee Brewers,
ODA-FF,Freddie Freeman,Atlanta Braves,
ODA-JD,Josh Donaldson,Toronto Blue Jays,
ODA-JV,Joey Votto,Cincinnati Reds,
ODA-KB,Kris Bryant,Chicago Cubs,
ODA-KD,Khris Davis,Oakland Athletics,
ODA-MM,Manny Machado,Baltimore Orioles,
ODA-MT,Mike Trout,Angels,
ODA-NS,Noah Syndergaard,New York Mets,
ODA-PG,Paul Goldschmidt,Arizona Diamondbacks,
ODA-YO,Yoan Moncada,Chicago White Sox,
