card_number,name,team,designations
SA-AA,Aaron Altherr,Philadelphia Phillies,
SA-AB,Alex Bregman,Houston Astros,
SA-AC,Austin Barnes,Los Angeles Dodgers,
SA-AD,Adam Duvall,Cincinnati Reds,
SA-AE,Alex Bregman,Houston Astros,
SA-AH,Austin Hays,Baltimore Orioles,RC
SA-AI,Anthony Rizzo,Chicago Cubs,
SA-AJ,Alex Mejia,St. Louis Cardinals,RC
SA-AN,Aaron Nola,Philadelphia Phillies,
SA-AR,Amed Rosario,New York Mets,RC
SA-AS,Anthony Santander,Baltimore Orioles,RC
SA-BG,Ben Gamel,Seattle Mariners,
SA-BP,Brett Phillips,Milwaukee Brewers,
SA-BZ,Bradley Zimmer,Cleveland Indians,
SA-CC,Carlos Carrasco,Cleveland Indians,
SA-CF,Clint Frazier,New York Yankees,RC
SA-CJ,Chipper Jones,Atlanta Braves,
SA-CK,Corey Kluber,Cleveland Indians,
SA-CR,Clint Frazier,New York Yankees,RC
SA-CS,Chance Sisco,Baltimore Orioles,RC
SA-CT,Chris Taylor,Los Angeles Dodgers,
SA-CV,Christian Villanueva,San Diego Padres,RC
SA-DB,Don Mattingly,New York Yankees,
SA-DM,Dillon Maples,Chicago Cubs,RC
SA-DS,Domingo Santana,Milwaukee Brewers,
SA-EE,Edwin Encarnacion,Cleveland Indians,
SA-EH,Eric Thames,Milwaukee Brewers,
SA-ER,Eddie Rosario,Minnesota Twins,
SA-ET,Eric Thames,Milwaukee Brewers,
SA-FB,Franklin Barreto,Oakland Athletics,
SA-FI,Francisco Lindor,Cleveland Indians,
SA-FL,Francisco Lindor,Cleveland Indians,
SA-FM,Francisco Mejia,Cleveland Indians,RC
SA-FN,Francisco Lindor,Cleveland Indians,
SA-HR,Hunter Renfroe,San Diego Padres,
SA-JB,Jose Abreu,Chicago White Sox,
SA-JC,J.P. Crawford,Philadelphia Phillies,RC
SA-JE,Jean Segura,Seattle Mariners,
SA-JF,Jack Flaherty,St. Louis Cardinals,RC
SA-JH,Josh Hader,Milwaukee Brewers,
SA-JI,Josh Harrison,Pittsburgh Pirates,
SA-JL,Jose Altuve,Houston Astros,
SA-JO,Josh Harrison,Pittsburgh Pirates,
SA-JR,Jose Ramirez,Cleveland Indians,
SA-JT,Jim Thome,Cleveland Indians,
SA-KB,Keon Broxton,Milwaukee Brewers,
SA-KD,Khris Davis,Oakland Athletics,
SA-KF,Kyle Farmer,Los Angeles Dodgers,RC
SA-KM,Keury Mella,Cincinnati Reds,RC
SA-KP,Kevin Pillar,Toronto Blue Jays,
SA-KR,Keon Broxton,Milwaukee Brewers,
SA-MA,Manny Machado,Baltimore Orioles,
SA-MC,Mike Clevinger,Cleveland Indians,
SA-MH,Matt Chapman,Oakland Athletics,
SA-MM,Manny Machado,Baltimore Orioles,
SA-MN,Manny Margot,San Diego Padres,
SA-NC,Nicholas Castellanos,Detroit Tigers,
SA-OL,Ozzie Albies,Atlanta Braves,RC
SA-OS,Ozzie Smith,St. Louis Cardinals,
SA-Pd,Paul DeJong,St. Louis Cardinals,
SA-RB,Ryan Braun,Milwaukee Brewers,
SA-RD,Rafael Devers,Boston Red Sox,RC
SA-RH,Rhys Hoskins,Philadelphia Phillies,RC
SA-RJ,Ryder Jones,San Francisco Giants,RC
SA-SA,Sandy Alcantara,Miami Marlins,RC
SA-SO,Shohei Ohtani,Angels,RC
SA-TH,Tommy Pham,St. Louis Cardinals,
SA-TM,Trey Mancini,Baltimore Orioles,
SA-TP,Tommy Pham,St. Louis Cardinals,
SA-TS,Travis Shaw,Milwaukee Brewers,
SA-TW,Travis Shaw,Milwaukee Brewers,
SA-VA,Victor Arano,Philadelphia Phillies,RC
SA-VR,Victor Robles,Washington Nationals,RC
SA-WB,Walker Buehler,Los Angeles Dodgers,RC
SA-WM,Whit Merrifield,Kansas City Royals,
SA-YM,Yoan Moncada,Chicago White Sox,
SA-ZG,Zack Granite,Minnesota Twins,RC
