card_number,name,team,designations
SA-ADA,Andre Dawson,Chicago Cubs,
SA-ADI,Aledmys Diaz,St. Louis Cardinals,
SA-AG,Andres Galarraga,Colorado Rockies,
SA-AH,Austin Hays,Baltimore Orioles,RC
SA-AJO,Adam Jones,Baltimore Orioles,
SA-ARI,Anthony Rizzo,Chicago Cubs,
SA-ARO,Amed Rosario,New York Mets,RC
SA-AS,Andrew Stevenson,Washington Nationals,RC
SA-AV,Alex Verdugo,Los Angeles Dodgers,RC
SA-AW,Alex Wood,Los Angeles Dodgers,
SA-BG,Ben Gamel,Seattle Mariners,
SA-BL,Barry Larkin,Cincinnati Reds,
SA-BRO,Brooks Robinson,Baltimore Orioles,
SA-BW,Brandon Woodruff,Milwaukee Brewers,RC
SA-BZ,Bradley Zimmer,Cleveland Indians,
SA-CAR,Christian Arroyo,San Francisco Giants,
SA-CBE,Cody Bellinger,Los Angeles Dodgers,
SA-CBI,Craig Biggio,Houston Astros,
SA-CBL,Charlie Blackmon,Colorado Rockies,
SA-CC,Carlos Correa,Houston Astros,
SA-CF,Clint Frazier,New York Yankees,RC
SA-CJ,Chipper Jones,Atlanta Braves,
SA-CR,Cal Ripken Jr.,Baltimore Orioles,
SA-CSA,Chris Sale,Boston Red Sox,
SA-CSI,Chance Sisco,Baltimore Orioles,RC
SA-DB,Dellin Betances,New York Yankees,
SA-DFO,Dexter Fowler,St. Louis Cardinals,
SA-DG,Didi Gregorius,New York Yankees,
SA-DMA,Don Mattingly,New York Yankees,
SA-DO,David Ortiz,Boston Red Sox,
SA-DSA,Domingo Santana,Milwaukee Brewers,
SA-DSM,Dominic Smith,New York Mets,RC
SA-DST,Darryl Strawberry,New York Mets,
SA-DSW,Dansby Swanson,Atlanta Braves,
SA-ED,Eric Davis,Cincinnati Reds,
SA-ET,Eric Thames,Milwaukee Brewers,
SA-FM,Francisco Mejia,Cleveland Indians,RC
SA-FT,Frank Thomas,Chicago White Sox,
SA-HB,Harrison Bader,St. Louis Cardinals,RC
SA-HR,Hunter Renfroe,San Diego Padres,
SA-IH,Ian Happ,Chicago Cubs,
SA-IR,Ivan Rodriguez,Texas Rangers,
SA-JBR,Jose Berrios,Minnesota Twins,
SA-JBZ,Javier Baez,Chicago Cubs,
SA-JCA,Jose Canseco,Oakland Athletics,
SA-JCR,J.P. Crawford,Philadelphia Phillies,RC
SA-JD,J.D. Davis,Houston Astros,RC
SA-JDA,Johnny Damon,Boston Red Sox,
SA-JL,Jack Flaherty,St. Louis Cardinals,RC
SA-JPL,Jim Palmer,Baltimore Orioles,
SA-JPN,Joe Panik,San Francisco Giants,
SA-JSE,Jean Segura,Seattle Mariners,
SA-JSM,John Smoltz,Atlanta Braves,
SA-JTH,Jim Thome,Cleveland Indians,
SA-JV,Joey Votto,Cincinnati Reds,
SA-KBO,Keon Broxton,Milwaukee Brewers,
SA-KBR,Kris Bryant,Chicago Cubs,
SA-KD,Khris Davis,Oakland Athletics,
SA-KS,Kyle Seager,Seattle Mariners,
SA-LI,Lucas Sims,Atlanta Braves,RC
SA-LS,Luis Severino,New York Yankees,
SA-MA,Miguel Andujar,New York Yankees,RC
SA-MC,Matt Carpenter,St. Louis Cardinals,
SA-MF,Michael Fulmer,Detroit Tigers,
SA-MH,Mitch Haniger,Seattle Mariners,
SA-MR,Max Fried,Atlanta Braves,RC
SA-MT,Mike Trout,Angels,
SA-ND,Nicky Delmonico,Chicago White Sox,RC
SA-OA,Ozzie Albies,Atlanta Braves,RC
SA-OV,Omar Vizquel,Cleveland Indians,
SA-PB,Parker Bridwell,Angels,RC
SA-PG,Paul Goldschmidt,Arizona Diamondbacks,
SA-RA,Roberto Alomar,Toronto Blue Jays,
SA-RD,Rafael Devers,Boston Red Sox,RC
SA-RHE,Ryon Healy,Oakland Athletics,
SA-RHO,Rhys Hoskins,Philadelphia Phillies,RC
SA-RM,Ryan McMahon,Colorado Rockies,RC
SA-SA,Sandy Alcantara,St. Louis Cardinals,RC
SA-TH,Tyler Mahle,Cincinnati Reds,RC
SA-TM,Trey Mancini,Baltimore Orioles,
SA-VR,Victor Robles,Washington Nationals,RC
SA-WC,Willie Calhoun,Texas Rangers,RC
SA-ZG,Zack Granite,Minnesota Twins,RC
