card_number,name,team,designations
DJH-1,Derek Jeter,New York Yankees,
DJH-2,Derek Jeter,New York Yankees,
DJH-3,Derek Jeter,New York Yankees,RC
DJH-4,Derek Jeter,New York Yankees,
DJH-5,Derek Jeter,New York Yankees,
DJH-6,Derek Jeter,New York Yankees,
DJH-7,Derek Jeter,New York Yankees,
DJH-8,Derek Jeter,New York Yankees,
DJH-9,Derek Jeter,New York Yankees,
DJH-10,Derek Jeter,New York Yankees,
DJH-11,Derek Jeter,New York Yankees,
DJH-12,Derek Jeter,New York Yankees,
DJH-13,Derek Jeter,New York Yankees,
DJH-14,Derek Jeter,New York Yankees,
DJH-15,Derek Jeter,New York Yankees,
DJH-16,Derek Jeter,New York Yankees,
DJH-17,Derek Jeter,New York Yankees,
DJH-18,Derek Jeter,New York Yankees,
DJH-19,Derek Jeter,New York Yankees,
DJH-20,Derek Jeter,New York Yankees,
DJH-21,Derek Jeter,New York Yankees,
DJH-22,Derek Jeter,New York Yankees,
DJH-23,Derek Jeter,New York Yankees,
DJH-24,Derek Jeter,New York Yankees,
DJH-25,Derek Jeter,New York Yankees,
DJH-26,Derek Jeter,New York Yankees,
DJH-27,Derek Jeter,New York Yankees,
DJH-28,Derek Jeter,New York Yankees,
DJH-29,Derek Jeter,New York Yankees,
DJH-30,Derek Jeter,New York Yankees,
