card_number,name,team,designations
KB-1,Kris Bryant,Chicago Cubs,
KB-2,Kris Bryant,Chicago Cubs,
KB-3,Kris Bryant,Chicago Cubs,
KB-4,Kris Bryant,Chicago Cubs,
KB-5,Kris Bryant,Chicago Cubs,
KB-6,Kris Bryant,Chicago Cubs,
KB-7,Kris Bryant,Chicago Cubs,
KB-8,Kris Bryant,Chicago Cubs,RC
KB-9,Kris Bryant,Chicago Cubs,
KB-10,Kris Bryant,Chicago Cubs,
KB-11,Kris Bryant,Chicago Cubs,
KB-12,Kris Bryant,Chicago Cubs,
KB-13,Kris Bryant,Chicago Cubs,
KB-14,Kris Bryant,Chicago Cubs,
KB-15,Kris Bryant,Chicago Cubs,
KB-16,Kris Bryant,Chicago Cubs,
KB-17,Kris Bryant,Chicago Cubs,
KB-18,Kris Bryant,Chicago Cubs,
KB-19,Kris Bryant,Chicago Cubs,
KB-20,Kris Bryant,Chicago Cubs,
KB-21,Kris Bryant,Chicago Cubs,
KB-22,Kris Bryant,Chicago Cubs,
KB-23,Kris Bryant,Chicago Cubs,
KB-24,Kris Bryant,Chicago Cubs,
KB-25,Kris Bryant,Chicago Cubs,
KB-26,Kris Bryant,Chicago Cubs,RC
KB-27,Kris Bryant,Chicago Cubs,RC
KB-28,Kris Bryant,Chicago Cubs,
KB-29,Kris Bryant,Chicago Cubs,
KB-30,Kris Bryant,Chicago Cubs,
