card_number,name,team,designations
LTM-AB,Andrew Benintendi,Boston Red Sox,
LTM-AJ,Aaron Judge,New York Yankees,
LTM-AM,Andrew McCutchen,Pittsburgh Pirates,
LTM-AR,Anthony Rizzo,Chicago Cubs,
LTM-BH,Bryce Harper,Washington Nationals,
LTM-BP,Buster Posey,San Francisco Giants,
LTM-CB,Cody Bellinger,Los Angeles Dodgers,
LTM-CC,Carlos Correa,Houston Astros,
LTM-CE,Corey Seager,Los Angeles Dodgers,
LTM-CS,Chris Sale,Boston Red Sox,
LTM-FF,Freddie Freeman,Atlanta Braves,
LTM-FL,Francisco Lindor,Cleveland Indians,
LTM-GS,Giancarlo Stanton,Miami Marlins,
LTM-JA,Jose Altuve,Houston Astros,
LTM-JD,Josh Donaldson,Toronto Blue Jays,
LTM-JV,Joey Votto,Cincinnati Reds,
LTM-KB,Kris Bryant,Chicago Cubs,
LTM-MB,Mookie Betts,Boston Red Sox,
LTM-MC,Miguel Cabrera,Detroit Tigers,
LTM-MM,Manny Machado,Baltimore Orioles,
LTM-MS,Miguel Sano,Minnesota Twins,
LTM-MT,Mike Trout,Angels,
LTM-NA,Nolan Arenado,Colorado Rockies,
LTM-NS,Noah Syndergaard,New York Mets,
LTM-PG,Paul Goldschmidt,Arizona Diamondbacks,
LTM-RC,Robinson Cano,Seattle Mariners,
LTM-WM,Wil Myers,San Diego Padres,
LTM-YD,Yu Darvish,Los Angeles Dodgers,
LTM-YM,Yadier Molina,St. Louis Cardinals,
LTM-YO,Yoan Moncada,Chicago White Sox,
