card_number,name,team,designations
LL-1,Aaron Judge,New York Yankees,
LL-2,Giancarlo Stanton,Miami Marlins,
LL-3,Babe Ruth,New York Yankees,
LL-4,Willson Contreras,Chicago Cubs,
LL-5,Ted Williams,Boston Red Sox,
LL-6,Darryl Strawberry,New York Mets,
LL-7,Mark McGwire,St. Louis Cardinals,
LL-8,Jose Canseco,Oakland Athletics,
LL-9,Mike Piazza,Los Angeles Dodgers,
LL-10,Cecil Fielder,Detroit Tigers,
LL-11,Jim Thome,Cleveland Indians,
LL-12,Willie Stargell,Pittsburgh Pirates,
LL-13,Reggie Jackson,Oakland Athletics,
LL-14,Joey Gallo,Texas Rangers,
LL-15,Gary Sanchez,New York Yankees,
LL-16,Charlie Blackmon,Colorado Rockies,
LL-17,Paul Goldschmidt,Arizona Diamondbacks,
LL-18,Mark McGwire,Oakland Athletics,
LL-19,Josh Donaldson,Toronto Blue Jays,
LL-20,Kris Bryant,Chicago Cubs,
LL-21,Mike Trout,Angels,
LL-22,Harmon Killebrew,Minnesota Twins,
LL-23,Roberto Clemente,Pittsburgh Pirates,
LL-24,Alex Rodriguez,New York Yankees,
LL-25,Joey Votto,Cincinnati Reds,
LL-26,Anthony Rizzo,Chicago Cubs,
LL-27,Bryce Harper,Washington Nationals,
LL-28,Manny Machado,Baltimore Orioles,
LL-29,Nelson Cruz,Seattle Mariners,
LL-30,Joc Pederson,Los Angeles Dodgers,
LL-31,Nomar Mazara,Texas Rangers,
LL-32,Jon Gray,Colorado Rockies,
LL-33,Kyle Schwarber,Chicago Cubs,
LL-34,Noah Syndergaard,New York Mets,
LL-35,Aaron Judge,New York Yankees,
LL-36,Matt Olson,Oakland Athletics,
LL-37,Jake Lamb,Arizona Diamondbacks,
LL-38,Giancarlo Stanton,Miami Marlins,
LL-39,Khris Davis,Oakland Athletics,
LL-40,David Ortiz,Boston Red Sox,
LL-41,Hank Aaron,Milwaukee Braves,
LL-42,Albert Pujols,St. Louis Cardinals,
LL-43,Bo Jackson,Kansas City Royals,
LL-44,Hank Aaron,Atlanta Braves,
LL-45,Albert Pujols,St. Louis Cardinals,
LL-46,Babe Ruth,Boston Red Sox,
LL-47,Frank Thomas,Chicago White Sox,
LL-48,Bryce Harper,Washington Nationals,
LL-49,Mike Trout,Angels,
LL-50,Nolan Arenado,Colorado Rockies,
