card_number,name,team,designations
MLBA-1,Jose Altuve,Houston Astros,
MLBA-2,Giancarlo Stanton,Miami Marlins,
MLBA-3,Craig Kimbrel,Boston Red Sox,
MLBA-4,Kenley Jansen,Los Angeles Dodgers,
MLBA-5,Anthony Rizzo,Chicago Cubs,
MLBA-6,Mike Moustakas,Kansas City Royals,
MLBA-7,Ryan Zimmerman,Washington Nationals,
MLBA-8,Aaron Judge,New York Yankees,RC
MLBA-9,Cody Bellinger,Los Angeles Dodgers,RC
MLBA-10,Corey Kluber,Cleveland Indians,
MLBA-11,Max Scherzer,Washington Nationals,
MLBA-12,Jose Altuve,Houston Astros,
MLBA-13,Giancarlo Stanton,Miami Marlins,
MLBA-14,Martin Maldonado,Angels,
MLBA-15,Tucker Barnhart,Cincinnati Reds,
MLBA-16,Eric Hosmer,Kansas City Royals,
MLBA-17,Paul Goldschmidt,Arizona Diamondbacks,
MLBA-18,Brian Dozier,Minnesota Twins,
MLBA-19,DJ LeMahieu,Colorado Rockies,
MLBA-20,Andrelton Simmons,Angels,
MLBA-21,Brandon Crawford,San Francisco Giants,
MLBA-22,Evan Longoria,Tampa Bay Rays,
MLBA-23,Nolan Arenado,Colorado Rockies,
MLBA-24,Alex Gordon,Kansas City Royals,
MLBA-25,Marcell Ozuna,Miami Marlins,
MLBA-26,Byron Buxton,Minnesota Twins,
MLBA-27,Ender Inciarte,Atlanta Braves,
MLBA-28,Mookie Betts,Boston Red Sox,
MLBA-29,Jason Heyward,Chicago Cubs,
MLBA-30,Marcus Stroman,Toronto Blue Jays,
MLBA-31,Zack Greinke,Arizona Diamondbacks,
MLBA-32,Buster Posey,San Francisco Giants,
MLBA-33,Gary Sanchez,New York Yankees,
MLBA-34,Eric Hosmer,Kansas City Royals,
MLBA-35,Paul Goldschmidt,Arizona Diamondbacks,
MLBA-36,Daniel Murphy,Washington Nationals,
MLBA-37,Jose Altuve,Houston Astros,
MLBA-38,Corey Seager,Los Angeles Dodgers,
MLBA-39,Francisco Lindor,Cleveland Indians,
MLBA-40,George Springer,Houston Astros,
MLBA-41,Justin Upton,Angels,
MLBA-42,Aaron Judge,New York Yankees,
MLBA-43,Marcell Ozuna,Miami Marlins,
MLBA-44,Giancarlo Stanton,Miami Marlins,
MLBA-45,Charlie Blackmon,Colorado Rockies,
MLBA-46,Nolan Arenado,Colorado Rockies,
MLBA-47,Jose Ramirez,Cleveland Indians,
MLBA-48,Adam Wainwright,St. Louis Cardinals,
MLBA-49,Nelson Cruz,Seattle Mariners,
MLBA-50,George Springer,Houston Astros,
