card_number,name,team,designations
IAR-AO,Andruw Jones,Atlanta Braves,
IAR-BP,Buster Posey,San Francisco Giants,
IAR-CB,Cody Bellinger,Los Angeles Dodgers,
IAR-CJ,Chipper Jones,Atlanta Braves,
IAR-CR,Cal Ripken Jr.,Baltimore Orioles,
IAR-DS,Darryl Strawberry,New York Mets,
IAR-GS,Gary Sanchez,New York Yankees,
IAR-I,Ichiro,Seattle Mariners,
IAR-JB,Jeff Bagwell,Houston Astros,
IAR-JC,Jose Canseco,Oakland Athletics,
IAR-MM,Mark McGwire,Oakland Athletics,
IAR-MP,Mike Piazza,Los Angeles Dodgers,
IAR-MT,Mike Trout,Angels,
IAR-NG,Nomar Garciaparra,Boston Red Sox,
IAR-Pd,Paul DeJong,St. Louis Cardinals,
IAR-RC,Rod Carew,Minnesota Twins,
IAR-RD,Rafael Devers,Boston Red Sox,RC
IAR-TM,Trey Mancini,Baltimore Orioles,
IAR-TR,Tim Raines,Montréal Expos,
IAR-VR,Victor Robles,Washington Nationals,RC
