card_number,name,team,designations
IIR-AB,Andrew Benintendi,Boston Red Sox,
IIR-AO,Andruw Jones,Atlanta Braves,
IIR-AP,Albert Pujols,St. Louis Cardinals,
IIR-AR,Amed Rosario,New York Mets,RC
IIR-BH,Bryce Harper,Washington Nationals,
IIR-BP,Buster Posey,San Francisco Giants,
IIR-CB,Cody Bellinger,Los Angeles Dodgers,
IIR-CC,Carlos Correa,Houston Astros,
IIR-CJ,Chipper Jones,Atlanta Braves,
IIR-CR,Cal Ripken Jr.,Baltimore Orioles,
IIR-CS,Corey Seager,Los Angeles Dodgers,
IIR-DJ,Derek Jeter,New York Yankees,
IIR-GS,Gary Sanchez,New York Yankees,
IIR-I,Ichiro,Seattle Mariners,
IIR-JB,Jeff Bagwell,Houston Astros,
IIR-JC,Jose Canseco,Oakland Athletics,
IIR-JV,Joey Votto,Cincinnati Reds,
IIR-MK,Masahiro Tanaka,New York Yankees,
IIR-MM,Mark McGwire,Oakland Athletics,
IIR-MP,Mike Piazza,Los Angeles Dodgers,
IIR-MT,Mike Trout,Angels,
IIR-NG,Nomar Garciaparra,Boston Red Sox,
IIR-Pd,Paul DeJong,St. Louis Cardinals,
IIR-RB,Ryan Braun,Milwaukee Brewers,
IIR-RD,Rafael Devers,Boston Red Sox,RC
IIR-SS,Stephen Strasburg,Washington Nationals,
IIR-TR,Tim Raines,Montréal Expos,
IIR-TT,Trea Turner,Washington Nationals,
IIR-VR,Victor Robles,Washington Nationals,RC
IIR-YP,Yasiel Puig,Los Angeles Dodgers,
