card_number,name,team,designations
LAR-AR,Anthony Rizzo,Chicago Cubs,
LAR-BJ,Bo Jackson,Kansas City Royals,
LAR-DO,David Ortiz,Boston Red Sox,
LAR-DS,Darryl Strawberry,New York Mets,
LAR-FT,Frank Thomas,Chicago White Sox,
LAR-GS,Gary Sanchez,New York Yankees,
LAR-JC,Jose Canseco,Oakland Athletics,
LAR-JG,Joey Gallo,Texas Rangers,
LAR-JL,Jake Lamb,Arizona Diamondbacks,
LAR-JP,Joc Pederson,Los Angeles Dodgers,
LAR-JR,Jon Gray,Colorado Rockies,
LAR-JT,Jim Thome,Cleveland Indians,
LAR-JV,Joey Votto,Cincinnati Reds,
LAR-KB,Kris Bryant,Chicago Cubs,
LAR-KD,Khris Davis,Oakland Athletics,
LAR-KS,Kyle Schwarber,Chicago Cubs,
LAR-MA,Manny Machado,Baltimore Orioles,
LAR-MC,Mark McGwire,Oakland Athletics,
LAR-MM,Mark McGwire,St. Louis Cardinals,
LAR-MT,Mike Trout,Angels,
LAR-NS,Noah Syndergaard,New York Mets,
LAR-PG,Paul Goldschmidt,Arizona Diamondbacks,
LAR-RJ,Reggie Jackson,Oakland Athletics,
