card_number,name,team,designations
MLMA-AI,Aledmys Diaz,St. Louis Cardinals,
MLMA-AR,Anthony Rizzo,Chicago Cubs,
MLMA-AW,Alex Wood,Los Angeles Dodgers,
MLMA-BG,Ben Gamel,Seattle Mariners,
MLMA-BZ,Bradley Zimmer,Cleveland Indians,
MLMA-CA,Christian Arroyo,San Francisco Giants,
MLMA-CB,Cody Bellinger,Los Angeles Dodgers,
MLMA-CE,Corey Seager,Los Angeles Dodgers,
MLMA-CF,Clint Frazier,New York Yankees,RC
MLMA-CL,Charlie Blackmon,Colorado Rockies,
MLMA-CS,Chris Sale,Boston Red Sox,
MLMA-CU,Corey Kluber,Cleveland Indians,
MLMA-DG,Didi Gregorius,New York Yankees,
MLMA-ET,Eric Thames,Milwaukee Brewers,
MLMA-FB,Franklin Barreto,Oakland Athletics,
MLMA-FF,Freddie Freeman,Atlanta Braves,
MLMA-GS,George Springer,Houston Astros,
MLMA-IH,Ian Happ,Chicago Cubs,
MLMA-JA,Jose Altuve,Houston Astros,
MLMA-JS,Jean Segura,Seattle Mariners,
MLMA-JZ,Javier Baez,Chicago Cubs,
MLMA-KB,Kris Bryant,Chicago Cubs,
MLMA-KD,Khris Davis,Oakland Athletics,
MLMA-KE,Kyle Seager,Seattle Mariners,
MLMA-LS,Luis Severino,New York Yankees,
MLMA-NS,Noah Syndergaard,New York Mets,
MLMA-PD,Paul DeJong,St. Louis Cardinals,
MLMA-PG,Paul Goldschmidt,Arizona Diamondbacks,
MLMA-RD,Rafael Devers,Boston Red Sox,RC
MLMA-RG,Randal Grichuk,St. Louis Cardinals,
MLMA-RH,Ryon Healy,Oakland Athletics,
MLMA-SM,Starling Marte,Pittsburgh Pirates,
MLMA-TM,Trey Mancini,Baltimore Orioles,
