card_number,name,team,designations
ASTMA-BP,Buster Posey,San Francisco Giants,
ASTMA-CBE,Cody Bellinger,Los Angeles Dodgers,
ASTMA-CBL,Charlie Blackmon,Colorado Rockies,
ASTMA-CC,Carlos Correa,Houston Astros,
ASTMA-CKI,Craig Kimbrel,Boston Red Sox,
ASTMA-CKL,Corey Kluber,Cleveland Indians,
ASTMA-CSA,Chris Sale,Boston Red Sox,
ASTMA-CSE,Corey Seager,Los Angeles Dodgers,
ASTMA-GSA,Gary Sanchez,New York Yankees,
ASTMA-GSP,George Springer,Houston Astros,
ASTMA-JV,Joey Votto,Cincinnati Reds,
ASTMA-LS,Luis Severino,New York Yankees,
ASTMA-MSA,Miguel Sano,Minnesota Twins,
ASTMA-MSC,Max Scherzer,Washington Nationals,
ASTMA-PG,Paul Goldschmidt,Arizona Diamondbacks,
