card_number,name,team,designations
STP-AB,Andrew Benintendi,Boston Red Sox,
STP-ABE,Adrian Beltre,Texas Rangers,
STP-AJ,Aaron Judge,New York Yankees,
STP-AM,Andrew McCutchen,Pittsburgh Pirates,
STP-AN,Aaron Nola,Philadelphia Phillies,
STP-BH,Bryce Harper,Washington Nationals,
STP-BP,Buster Posey,San Francisco Giants,
STP-CB,Cody Bellinger,Los Angeles Dodgers,
STP-CC,Carlos Correa,Houston Astros,
STP-EL,Evan Longoria,Tampa Bay Rays,
STP-ET,Eric Thames,Milwaukee Brewers,
STP-FF,Freddie Freeman,Atlanta Braves,
STP-FL,Francisco Lindor,Cleveland Indians,
STP-GS,Giancarlo Stanton,Miami Marlins,
STP-JD,Josh Donaldson,Toronto Blue Jays,
STP-JV,Joey Votto,Cincinnati Reds,
STP-KB,Kris Bryant,Chicago Cubs,
STP-KD,Khris Davis,Oakland Athletics,
STP-MCB,Miguel Cabrera,Detroit Tigers,
STP-MM,Manny Machado,Baltimore Orioles,
STP-MS,Miguel Sano,Minnesota Twins,
STP-MT,Mike Trout,Angels,
STP-NA,Nolan Arenado,Colorado Rockies,
STP-NS,Noah Syndergaard,New York Mets,
STP-PG,Paul Goldschmidt,Arizona Diamondbacks,
STP-RC,Robinson Cano,Seattle Mariners,
STP-SP,Salvador Perez,Kansas City Royals,
STP-WM,Wil Myers,San Diego Padres,
STP-YML,Yadier Molina,St. Louis Cardinals,
STP-YMN,Yoan Moncada,Chicago White Sox,
