card_number,name,team,designations
PWPA-ABL,Adrian Beltre,Texas Rangers,
PWPA-AJO,Adam Jones,Baltimore Orioles,
PWPA-AR,Amed Rosario,New York Mets,RC
PWPA-ARI,Anthony Rizzo,Chicago Cubs,
PWPA-BB,Byron Buxton,Minnesota Twins,
PWPA-BP,Buster Posey,San Francisco Giants,
PWPA-CB,Charlie Blackmon,Colorado Rockies,
PWPA-CSE,Corey Seager,Los Angeles Dodgers,
PWPA-EL,Evan Longoria,Tampa Bay Rays,
PWPA-ET,Eric Thames,Milwaukee Brewers,
PWPA-FF,Freddie Freeman,Atlanta Braves,
PWPA-GSA,Gary Sanchez,New York Yankees,
PWPA-GSP,George Springer,Houston Astros,
PWPA-I,Ichiro,Miami Marlins,
PWPA-JA,Jose Altuve,Houston Astros,
PWPA-JD,Josh Donaldson,Toronto Blue Jays,
PWPA-JG,Jacob DeGrom,New York Mets,
PWPA-JVO,Joey Votto,Cincinnati Reds,
PWPA-JZ,Javier Baez,Chicago Cubs,
PWPA-KB,Kris Bryant,Chicago Cubs,
PWPA-KD,Khris Davis,Oakland Athletics,
PWPA-KS,Kyle Seager,Seattle Mariners,
PWPA-KY,Kyle Schwarber,Chicago Cubs,
PWPA-MA,Masahiro Tanaka,New York Yankees,
PWPA-MM,Manny Machado,Baltimore Orioles,
PWPA-MT,Mike Trout,Angels,
PWPA-PG,Paul Goldschmidt,Arizona Diamondbacks,
PWPA-RD,Rafael Devers,Boston Red Sox,RC
PWPA-RH,Rhys Hoskins,Philadelphia Phillies,RC
