card_number,name,team,designations
PWP-ABL,Adrian Beltre,Texas Rangers,
PWP-ABN,Andrew Benintendi,Boston Red Sox,
PWP-AJO,Adam Jones,Baltimore Orioles,
PWP-AJU,Aaron Judge,New York Yankees,
PWP-AM,Andrew McCutchen,Pittsburgh Pirates,
PWP-AP,Albert Pujols,Angels,
PWP-AR,Amed Rosario,New York Mets,RC
PWP-ARI,Anthony Rizzo,Chicago Cubs,
PWP-BB,Byron Buxton,Minnesota Twins,
PWP-BP,Buster Posey,San Francisco Giants,
PWP-CL,Charlie Blackmon,Colorado Rockies,
PWP-CSE,Corey Seager,Los Angeles Dodgers,
PWP-DM,Daniel Murphy,Washington Nationals,
PWP-EH,Eric Hosmer,Kansas City Royals,
PWP-EL,Evan Longoria,Tampa Bay Rays,
PWP-ET,Eric Thames,Milwaukee Brewers,
PWP-FF,Freddie Freeman,Atlanta Braves,
PWP-FL,Francisco Lindor,Cleveland Indians,
PWP-GSA,Gary Sanchez,New York Yankees,
PWP-GSP,George Springer,Houston Astros,
PWP-GST,Giancarlo Stanton,Miami Marlins,
PWP-I,Ichiro,Miami Marlins,
PWP-JA,Jose Altuve,Houston Astros,
PWP-JB,Jose Bautista,Toronto Blue Jays,
PWP-JD,Josh Donaldson,Toronto Blue Jays,
PWP-JG,Jacob deGrom,New York Mets,
PWP-JR,Jose Abreu,Chicago White Sox,
PWP-JVO,Joey Votto,Cincinnati Reds,
PWP-JZ,Javier Baez,Chicago Cubs,
PWP-KB,Kris Bryant,Chicago Cubs,
PWP-KC,Kyle Schwarber,Chicago Cubs,
PWP-KD,Khris Davis,Oakland Athletics,
PWP-KS,Kyle Seager,Seattle Mariners,
PWP-MA,Masahiro Tanaka,New York Yankees,
PWP-MB,Mookie Betts,Boston Red Sox,
PWP-MCB,Miguel Cabrera,Detroit Tigers,
PWP-MK,Matt Kemp,Atlanta Braves,
PWP-MM,Manny Machado,Baltimore Orioles,
PWP-MT,Mike Trout,Angels,
PWP-NA,Nolan Arenado,Colorado Rockies,
PWP-NC,Nelson Cruz,Seattle Mariners,
PWP-PG,Paul Goldschmidt,Arizona Diamondbacks,
PWP-RC,Robinson Cano,Seattle Mariners,
PWP-RD,Rafael Devers,Boston Red Sox,RC
PWP-RH,Rhys Hoskins,Philadelphia Phillies,RC
PWP-SP,Salvador Perez,Kansas City Royals,
PWP-WM,Wil Myers,San Diego Padres,
PWP-YD,Yu Darvish,Los Angeles Dodgers,
PWP-YML,Yadier Molina,St. Louis Cardinals,
PWP-YP,Yasiel Puig,Los Angeles Dodgers,
