card_number,name,team,designations
PSP-AB,Andrew Benintendi,Boston Red Sox,
PSP-AC,Aroldis Chapman,New York Yankees,
PSP-AI,Anthony Rizzo,Chicago Cubs,
PSP-AR,Addison Russell,Chicago Cubs,
PSP-BH,Bryce Harper,Washington Nationals,
PSP-CC,Carlos Correa,Houston Astros,
PSP-CK,Clayton Kershaw,Los Angeles Dodgers,
PSP-CS,Corey Seager,Los Angeles Dodgers,
PSP-DG,Didi Gregorius,New York Yankees,
PSP-DK,Dallas Keuchel,Houston Astros,
PSP-DM,Daniel Murphy,Washington Nationals,
PSP-GS,Gary Sanchez,New York Yankees,
PSP-JA,Jose Altuve,Houston Astros,
PSP-JB,Javier Baez,Chicago Cubs,
PSP-JM,J.D. Martinez,Arizona Diamondbacks,
PSP-JT,Justin Turner,Los Angeles Dodgers,
PSP-JV,Justin Verlander,Houston Astros,
PSP-KB,Kris Bryant,Chicago Cubs,
PSP-LS,Luis Severino,New York Yankees,
PSP-MB,Mookie Betts,Boston Red Sox,
PSP-MT,Masahiro Tanaka,New York Yankees,
PSP-PG,Paul Goldschmidt,Arizona Diamondbacks,
PSP-RD,Rafael Devers,Boston Red Sox,RC
PSP-TB,Trevor Bauer,Cleveland Indians,
PSP-WC,Willson Contreras,Chicago Cubs,
PSP-YD,Yu Darvish,Los Angeles Dodgers,
PSP-YP,Yasiel Puig,Los Angeles Dodgers,
