card_number,name,team,designations
TRAP-ADA,Andre Dawson,Chicago Cubs,
TRAP-AJO,Adam Jones,Baltimore Orioles,
TRAP-AMR,Amed Rosario,New York Mets,RC
TRAP-BL,Barry Larkin,Cincinnati Reds,
TRAP-CF,Clint Frazier,New York Yankees,RC
TRAP-CJ,Chipper Jones,Atlanta Braves,
TRAP-CKL,Corey Kluber,Cleveland Indians,
TRAP-CR,Cal Ripken Jr.,Baltimore Orioles,
TRAP-DMA,Don Mattingly,New York Yankees,
TRAP-DRU,Andruw Jones,Atlanta Braves,
TRAP-DS,Dansby Swanson,Atlanta Braves,
TRAP-FF,Freddie Freeman,Atlanta Braves,
TRAP-FT,Frank Thomas,Chicago White Sox,
TRAP-I,Ichiro,Miami Marlins,
TRAP-IH,Ian Happ,Chicago Cubs,
TRAP-JDA,Johnny Damon,Boston Red Sox,
TRAP-JDG,Jacob deGrom,New York Mets,
TRAP-JV,Joey Votto,Cincinnati Reds,
TRAP-KD,Khris Davis,Oakland Athletics,
TRAP-KSC,Kyle Schwarber,Chicago Cubs,
TRAP-KSE,Kyle Seager,Seattle Mariners,
TRAP-MM,Manny Machado,Baltimore Orioles,
TRAP-MP,Mike Piazza,New York Mets,
TRAP-MTR,Mike Trout,Angels,
TRAP-NR,Nolan Ryan,Texas Rangers,
TRAP-NS,Noah Syndergaard,New York Mets,
TRAP-PG,Paul Goldschmidt,Arizona Diamondbacks,
TRAP-RS,Ryne Sandberg,Chicago Cubs,
TRAP-SC,Steve Carlton,Philadelphia Phillies,
TRAP-WB,Wade Boggs,Boston Red Sox,
TRAP-MMG,Mark McGwire,Oakland Athletics,
TRAP-DJ,Derek Jeter,New York Yankees,
TRAP-BP,Buster Posey,San Francisco Giants,
TRAP-ARO,Alex Rodriguez,New York Yankees,
TRAP-CY,Carl Yastrzemski,Boston Red Sox,
TRAP-RH,Rickey Henderson,Oakland Athletics,
TRAP-DO,David Ortiz,Boston Red Sox,
TRAP-CC,Carlos Correa,Houston Astros,
TRAP-JS,John Smoltz,Atlanta Braves,
TRAP-JB,Javier Baez,Chicago Cubs,
TRAP-OS,Ozzie Smith,St. Louis Cardinals,
TRAP-OV,Omar Vizquel,Seattle Mariners,
TRAP-RY,Robin Yount,Milwaukee Brewers,
TRAP-LS,Luis Severino,New York Yankees,
TRAP-RB,Ryan Braun,Milwaukee Brewers,
TRAP-MCO,Michael Conforto,New York Mets,
TRAP-ADU,Adam Duvall,Cincinnati Reds,
TRAP-ARU,Addison Russell,Chicago Cubs,
TRAP-RCL,Roger Clemens,Boston Red Sox,
TRAP-PM,Pedro Martinez,Boston Red Sox,
TRAP-CSA,Chris Sale,Boston Red Sox,
TRAP-DG,Didi Gregorius,New York Yankees,
TRAP-HR,Hunter Renfroe,San Diego Padres,
