card_number,name,team,designations
AMA-AD,Andre Dawson,Montreal Expos,
AMA-BL,Barry Larkin,Cincinnati Reds,
AMA-CB,Charlie Blackmon,Colorado Rockies,
AMA-CF,Carlton Fisk,Chicago White Sox,
AMA-CJ,Chipper Jones,Atlanta Braves,
AMA-CS,Chris Sale,Boston Red Sox,
AMA-CY,Christian Yelich,Milwaukee Brewers,
AMA-DE,Dennis Eckersley,Oakland Athletics,
AMA-FF,Freddie Freeman,Atlanta Braves,
AMA-JM,Juan Marichal,San Francisco Giants,
AMA-JR,Jose Ramirez,Cleveland Indians,
AMA-Jd,Jacob deGrom,New York Mets,
AMA-LB,Lou Brock,St. Louis Cardinals,
AMA-NR,Nolan Ryan,California Angels,
AMA-NRY,Nolan Ryan,Texas Rangers,
AMA-OS,Ozzie Smith,St. Louis Cardinals,
AMA-RHE,Rickey Henderson,Oakland Athletics,
AMA-RHO,Rhys Hoskins,Philadelphia Phillies,
AMA-RS,Ryne Sandberg,Chicago Cubs,
AMA-TH,Todd Helton,Colorado Rockies,
AMA-VG,Vladimir Guerrero,Montreal Expos,
AMA-WC,Will Clark,San Francisco Giants,
