card_number,name,team,designations
AMM-AB,Adrian Beltre,Texas Rangers,
AMM-AK,Al Kaline,Detroit Tigers,
AMM-AR,Anthony Rizzo,Chicago Cubs,
AMM-BG,Bob Gibson,St. Louis Cardinals,
AMM-BJ,Bo Jackson,Kansas City Royals,
AMM-CR,Cal Ripken Jr.,Baltimore Orioles,
AMM-DM,Don Mattingly,New York Yankees,
AMM-FL,Francisco Lindor,Cleveland Indians,
AMM-FT,Frank Thomas,Chicago White Sox,
AMM-I,Ichiro,Seattle Mariners,
AMM-IR,Ivan Rodriguez,Texas Rangers,
AMM-JA,Jose Altuve,Houston Astros,
AMM-JS,Juan Soto,Washington Nationals,
AMM-JVO,Joey Votto,Cincinnati Reds,
AMM-KB,Kris Bryant,Chicago Cubs,
AMM-MM,Manny Machado,Los Angeles Dodgers,
AMM-MMC,Mark McGwire,Oakland Athletics,
AMM-MT,Mike Trout,Angels,
AMM-PG,Paul Goldschmidt,Arizona Diamondbacks,
AMM-RA,Roberto Alomar,Toronto Blue Jays,
AMM-RAC,Ronald Acuña Jr.,Atlanta Braves,
AMM-RCA,Rod Carew,Minnesota Twins,
AMM-RJ,Reggie Jackson,Oakland Athletics,
AMM-RY,Robin Yount,Milwaukee Brewers,
AMM-SC,Steve Carlton,Philadelphia Phillies,
AMM-SO,Shohei Ohtani,Angels,
AMM-TG,Tom Glavine,Atlanta Braves,
AMM-VG,Vladimir Guerrero,Montreal Expos,
AMM-WB,Wade Boggs,Boston Red Sox,
AMM-YM,Yadier Molina,St. Louis Cardinals,
