card_number,name,team,designations
APA-AB,Adrian Beltre,Texas Rangers,
APA-AJ,Aaron Judge,New York Yankees,
APA-AK,Al Kaline,Detroit Tigers,
APA-AR,Anthony Rizzo,Chicago Cubs,
APA-BG,Bob Gibson,St. Louis Cardinals,
APA-BJ,Bo Jackson,Kansas City Royals,
APA-BP,Buster Posey,San Francisco Giants,
APA-CJ,Chipper Jones,Atlanta Braves,
APA-DM,Don Mattingly,New York Yankees,
APA-DO,David Ortiz,Boston Red Sox,
APA-DW,David Wright,New York Mets,
APA-FL,Francisco Lindor,Cleveland Indians,
APA-FT,Frank Thomas,Chicago White Sox,
APA-I,Ichiro,Seattle Mariners,
APA-IR,Ivan Rodriguez,Texas Rangers,
APA-JA,Jose Altuve,Houston Astros,
APA-JB,Jeff Bagwell,Houston Astros,
APA-JS,Juan Soto,Washington Nationals,
APA-JVO,Joey Votto,Cincinnati Reds,
APA-MM,Mark McGwire,Oakland Athletics,
APA-RA,Roberto Alomar,Toronto Blue Jays,
APA-RJ,Reggie Jackson,Oakland Athletics,
APA-RY,Robin Yount,Milwaukee Brewers,
APA-SC,Steve Carlton,Philadelphia Phillies,
APA-SO,Shohei Ohtani,Angels,
APA-TGL,Tom Glavine,Atlanta Braves,
APA-VG,Vladimir Guerrero,Angels,
APA-YM,Yadier Molina,St. Louis Cardinals,
