card_number,name,team,designations
AMP-AP,Andy Pettitte,New York Yankees,
AMP-BL,Barry Larkin,Cincinnati Reds,
AMP-CBL,Charlie Blackmon,Colorado Rockies,
AMP-CR,Cal Ripken Jr.,Baltimore Orioles,
AMP-CSA,Chris Sale,Boston Red Sox,
AMP-CY,Christian Yelich,Milwaukee Brewers,
AMP-DE,Dennis Eckesley,Oakland Athletics,
AMP-DP,Dustin Pedroia,Boston Red Sox,
AMP-FF,Freddie Freeman,Atlanta Braves,
AMP-GSP,George Springer,Houston Astros,
AMP-JU,Justin Upton,Angels,
AMP-Jd,Jacob deGrom,New York Mets,
AMP-KB,Kris Bryant,Chicago Cubs,
AMP-LS,Luis Severino,New York Yankees,
AMP-MM,Mark McGwire,St. Louis Cardinals,
AMP-MMA,Manny Machado,Los Angeles Dodgers,
AMP-MP,Mike Piazza,Los Angeles Dodgers,
AMP-MT,Mike Trout,Angels,
AMP-NR,Nolan Ryan,Texas Rangers,
AMP-NS,Noah Syndergaard,New York Mets,
AMP-OA,Ozzie Albies,Atlanta Braves,
AMP-OS,Ozzie Smith,St. Louis Cardinals,
AMP-PG,Paul Goldschmidt,Arizona Diamondbacks,
AMP-PM,Pedro Martinez,Boston Red Sox,
AMP-RA,Ronald Acuña Jr.,Atlanta Braves,
AMP-RCA,Rod Carew,California Angels,
AMP-RH,Rhys Hoskins,Philadelphia Phillies,
AMP-RHE,Rickey Henderson,Oakland Athletics,
AMP-RJ,Randy Johnson,Seattle Mariners,
AMP-SP,Salvador Perez,Kansas City Royals,
