card_number,name,team,designations
84AS-AD,Andre Dawson,Montréal Expos,
84AS-AJ,Aaron Judge,New York Yankees,
84AS-BB,Bert Blyleven,Cleveland Indians,
84AS-BG,Bob Gibson,St. Louis Cardinals,
84AS-BJ,Bo Jackson,Kansas City Royals,
84AS-BS,Blake Snell,Tampa Bay Rays,
84AS-BSU,Bruce Sutter,St. Louis Cardinals,
84AS-CF,Carlton Fisk,Chicago White Sox,
84AS-CK,Corey Kluber,Cleveland Indians,
84AS-CR,Cal Ripken Jr.,Baltimore Orioles,
84AS-CS,Chris Sale,Boston Red Sox,
84AS-CY,Christian Yelich,Milwaukee Brewers,
84AS-CYA,Carl Yastrzemski,Boston Red Sox,
84AS-DG,Dwight Gooden,New York Mets,
84AS-DJ,Derek Jeter,New York Yankees,
84AS-DM,Dale Murphy,Atlanta Braves,
84AS-DMA,Don Mattingly,New York Yankees,
84AS-DS,Darryl Strawberry,New York Mets,
84AS-DW,Dave Winfield,New York Yankees,
84AS-FL,Francisco Lindor,Cleveland Indians,
84AS-HM,Hideki Matsui,New York Yankees,
84AS-JAL,Jose Altuve,Houston Astros,
84AS-JB,Johnny Bench,Cincinnati Reds,
84AS-JRI,Jim Rice,Boston Red Sox,
84AS-JV,Joey Votto,Cincinnati Reds,
84AS-Jd,Jacob deGrom,New York Mets,
84AS-LS,Luis Severino,New York Yankees,
84AS-MH,Mitch Haniger,Seattle Mariners,
84AS-MM,Mark McGwire,Oakland Athletics,
84AS-MT,Mike Trout,Angels,
84AS-OA,Ozzie Albies,Atlanta Braves,
84AS-OS,Ozzie Smith,St. Louis Cardinals,
84AS-PN,Phil Niekro,New York Yankees,
84AS-RC,Roger Clemens,Boston Red Sox,
84AS-RH,Rickey Henderson,Oakland Athletics,
84AS-RJ,Reggie Jackson,California Angels,
84AS-RS,Ryne Sandberg,Chicago Cubs,
84AS-RY,Robin Yount,Milwaukee Brewers,
84AS-TG,Tom Glavine,Atlanta Braves,
84AS-TR,Tim Raines,Montréal Expos,
84AS-WB,Wade Boggs,Boston Red Sox,
84AS-WC,Willson Contreras,Chicago Cubs,
84AS-WCL,Will Clark,San Francisco Giants,
