card_number,name,team,designations
84A-AJ,Aaron Judge,New York Yankees,
84A-AK,Al Kaline,Detroit Tigers,
84A-ARZ,Anthony Rizzo,Chicago Cubs,
84A-BHA,Bryce Harper,Washington Nationals,
84A-CJ,Chipper Jones,Atlanta Braves,
84A-CR,Cal Ripken Jr.,Baltimore Orioles,
84A-DJ,Derek Jeter,New York Yankees,
84A-DMA,Don Mattingly,New York Yankees,
84A-DMU,Dale Murphy,Atlanta Braves,
84A-DST,Darryl Strawberry,New York Mets,
84A-FL,Francisco Lindor,Cleveland Indians,
84A-FTH,Frank Thomas,Chicago White Sox,
84A-GSA,Gary Sanchez,New York Yankees,
84A-HA,Hank Aaron,Atlanta Braves,
84A-JA,Jose Altuve,Houston Astros,
84A-KB,Kris Bryant,Chicago Cubs,
84A-KSC,Kyle Schwarber,Chicago Cubs,
84A-LS,Luis Severino,New York Yankees,
84A-MMG,Mark McGwire,Oakland Athletics,
84A-MTR,Mike Trout,Angels,
84A-NR,Nolan Ryan,Houston Astros,
84A-NSY,Noah Syndergaard,New York Mets,
84A-OS,Ozzie Smith,St. Louis Cardinals,
84A-RA,Ronald Acuña Jr.,Atlanta Braves,
84A-RHE,Rickey Henderson,Oakland Athletics,
84A-RS,Ryne Sandberg,Chicago Cubs,
84A-RY,Robin Yount,Milwaukee Brewers,
84A-SO,Shohei Ohtani,Angels,
84A-WCL,Will Clark,San Francisco Giants,
84A-WM,Whit Merrifield,Kansas City Royals,
84A-AG,Adolis Garcia,St. Louis Cardinals,RC
84A-BK,Brad Keller,Kansas City Royals,RC
84A-BL,Brandon Lowe,Tampa Bay Rays,RC
84A-BN,Brandon Nimmo,New York Mets,
84A-BS,Blake Snell,Tampa Bay Rays,
84A-BT,Blake Treinen,Oakland Athletics,
84A-CA,Chance Adams,New York Yankees,RC
84A-CHE,Cesar Hernandez,Philadelphia Phillies,
84A-CM,Colin Moran,Pittsburgh Pirates,
84A-CMU,Cedric Mullins,Baltimore Orioles,RC
84A-DBO,David Bote,Chicago Cubs,
84A-DJ,Danny Jansen,Toronto Blue Jays,RC
84A-DRO,Dereck Rodriguez,San Francisco Giants,
84A-FP,Freddy Peralta,Milwaukee Brewers,
84A-FV,Felipe Vazquez,Pittsburgh Pirates,
84A-JB,Jake Bauers,Tampa Bay Rays,RC
84A-JHA,Josh Hader,Milwaukee Brewers,
84A-JJ,Jake Junis,Kansas City Royals,
84A-JMC,Jeff McNeil,New York Mets,RC
84A-JS,Juan Soto,Washington Nationals,
84A-KA,Kolby Allard,Atlanta Braves,RC
84A-KD,Khris Davis,Oakland Athletics,
84A-KT,Kyle Tucker,Houston Astros,RC
84A-LG,Lourdes Gurriel Jr.,Toronto Blue Jays,
84A-MA,Miguel Andujar,New York Yankees,
84A-MCL,Mike Clevinger,Cleveland Indians,
84A-MF,Mike Foltynewicz,Atlanta Braves,
84A-MH,Mitch Haniger,Seattle Mariners,
84A-MKO,Michael Kopech,Chicago White Sox,RC
84A-MMU,Max Muncy,Los Angeles Dodgers,
84A-MO,Matt Olson,Oakland Athletics,
84A-PW,Patrick Wisdom,St. Louis Cardinals,RC
84A-RO,Ryan O'Hearn,Kansas City Royals,RC
84A-SD,Steven Duggar,San Francisco Giants,RC
84A-SR,Sean Reid-Foley,Toronto Blue Jays,RC
84A-TAN,Tim Anderson,Chicago White Sox,
84A-TS,Travis Shaw,Milwaukee Brewers,
84A-TST,Trevor Story,Colorado Rockies,
84A-TW,Taylor Ward,Angels,RC
84A-ZG,Zack Godley,Arizona Diamondbacks,
