card_number,name,team,designations
FFA-AK,Al Kaline,Detroit Tigers,
FFA-CR,Cal Ripken Jr.,Baltimore Orioles,
FFA-FT,Frank Thomas,Chicago White Sox,
FFA-JA,Jose Altuve,Houston Astros,
FFA-JB,Johnny Bench,Cincinnati Reds,
FFA-KG,Ken Griffey Jr.,Seattle Mariners,
FFA-MT,Mike Trout,Angels,
FFA-NR,Nolan Ryan,Texas Rangers,
FFA-RA,Roberto Alomar,Toronto Blue Jays,
FFA-RH,Rickey Henderson,Oakland Athletics,
FFA-RY,Robin Yount,Milwaukee Brewers,
FFA-SC,Steve Carlton,Philadelphia Phillies,
FFA-TH,Todd Helton,Colorado Rockies,
