card_number,name,team,designations
GPA-BL,Barry Larkin,Cincinnati Reds,
GPA-BM,Bill Mazeroski,Pittsburgh Pirates,
GPA-BP,Buster Posey,San Francisco Giants,
GPA-BW,Billy Willams,Chicago Cubs,
GPA-C,Cepeda,San Francisco Giants,
GPA-CJ,Chipper Jones,Atlanta Braves,
GPA-CR,Cal Ripken Jr.,Baltimore Orioles,
GPA-DW,Dave Winfield,New York Yankees,
GPA-JB,Jeff Bagwell,Houston Astros,
GPA-JBE,Johnny Bench,Cincinnati Reds,
GPA-JS,John Smoltz,Atlanta Braves,
GPA-JV,Joey Votto,Cincinnati Reds,
GPA-KG,Ken Griffey Jr.,Seattle Mariners,
GPA-OSM,Ozzie Smith,St. Louis Cardinals,
GPA-PN,Phil Niekro,Atlanta Braves,
GPA-RA,Roberto Alomar,Toronto Blue Jays,
GPA-RF,Rollie Fingers,Oakland Athletics,
GPA-RHE,Rickey Henderson,Oakland Athletics,
GPA-RSA,Ryne Sandberg,Chicago Cubs,
GPA-WF,Whitey Ford,New York Yankees,
