card_number,name,team,designations
LBA-AD,Aledmys Diaz,Toronto Blue Jays,
LBA-AG,Avisail Garcia,Chicago White Sox,
LBA-AH,Alen Hanson,San Francisco Giants,
LBA-AM,Adalberto Mondesi,Kansas City Royals,
LBA-AS,Antonio Senzatela,Colorado Rockies,
LBA-BA,Bobby Abreu,Philadelphia Phillies,
LBA-BB,Bert Blyleven,Minnesota Twins,
LBA-BG,Bob Gibson,St. Louis Cardinals,
LBA-BJ,Brian Johnson,Boston Red Sox,
LBA-BK,Brad Keller,Kansas City Royals,RC
LBA-BM,Bill Mazeroski,Pittsburgh Pirates,
LBA-CK,Corey Kluber,Cleveland Indians,
LBA-CM,Colin Moran,Pittsburgh Pirates,
LBA-CMU,Cedric Mullins,Baltimore Orioles,RC
LBA-DC,David Cone,New York Yankees,
LBA-DJ,Danny Jansen,Toronto Blue Jays,RC
LBA-DST,Dan Straily,Miami Marlins,
LBA-ED,Edwin Diaz,Seattle Mariners,
LBA-EDA,Eric Davis,Cincinnati Reds,
LBA-FJ,Fergie Jenkins,Chicago Cubs,
LBA-FM,Frankie Montas,Oakland Athletics,
LBA-FV,Felipe Vazquez,Pittsburgh Pirates,
LBA-GS,George Springer,Houston Astros,
LBA-JA,Jesus Aguilar,Milwaukee Brewers,
LBA-JB,Jake Bauers,Tampa Bay Rays,RC
LBA-JBO,Justin Bour,Philadelphia Phillies,
LBA-JC,Johan Camargo,Atlanta Braves,
LBA-JF,Jake Faria,Tampa Bay Rays,
LBA-JH,Josh Hader,Milwaukee Brewers,
LBA-JM,Jeff McNeil,New York Mets,RC
LBA-JMA,Jake Marisnick,Houston Astros,
LBA-JP,Jose Peraza,Cincinnati Reds,
LBA-KA,Kolby Allard,Atlanta Braves,RC
LBA-KB,Kris Bryant,Chicago Cubs,
LBA-KF,Kyle Freeland,Colorado Rockies,
LBA-KG,Ken Giles,Toronto Blue Jays,
LBA-KL,Kenny Lofton,Cleveland Indians,
LBA-KT,Kyle Tucker,Houston Astros,RC
LBA-LB,Lou Brock,St. Louis Cardinals,
LBA-LH,Livan Hernandez,Florida Marlins,
LBA-LS,Luis Severino,New York Yankees,
LBA-MC,Matt Chapman,Oakland Athletics,
LBA-MCA,Matt Carpenter,St. Louis Cardinals,
LBA-MD,Matt Duffy,Tampa Bay Rays,
LBA-MFO,Mike Foltynewicz,Atlanta Braves,
LBA-MG,Mark Grace,Chicago Cubs,
LBA-MGO,Marwin Gonzalez,Houston Astros,
LBA-MI,Monte Irvin,New York Giants,
LBA-MM,Max Muncy,Los Angeles Dodgers,
LBA-MTR,Mike Trout,Angels,
LBA-NG,Niko Goodrum,Detroit Tigers,
LBA-PN,Phil Niekro,Atlanta Braves,
LBA-R,Carlos Rodon,Chicago White Sox,
LBA-RA,Rick Ankiel,St. Louis Cardinals,
LBA-RH,Rhys Hoskins,Philadelphia Phillies,
LBA-RO,Roy Oswalt,Houston Astros,
LBA-RS,Ross Stripling,Los Angeles Dodgers,
LBA-SD,Steven Duggar,San Francisco Giants,RC
LBA-SG,Shawn Green,Los Angeles Dodgers,
LBA-SO,Shohei Ohtani,Angels,
LBA-SR,Sean Reid-Foley,Toronto Blue Jays,RC
LBA-TA,Tyler Anderson,Colorado Rockies,
LBA-TH,Teoscar Hernandez,Toronto Blue Jays,
LBA-TL,Tzu-Wei Lin,Boston Red Sox,
LBA-TS,Tyler Skaggs,Angels,
LBA-VC,Vinny Castilla,Colorado Rockies,
LBA-YG,Yasmani Grandal,Los Angeles Dodgers,
LBA-YS,Yangervis Solarte,Toronto Blue Jays,
LBA-ZG,Zack Godley,Arizona Diamondbacks,
