card_number,name,team,designations
LBDA-AM,Miguel Cabrera / Al Kaline,Detroit Tigers / Detroit Tigers,
LBDA-AP,Albert Pujols / Paul Goldschmidt,St. Louis Cardinals / St. Louis Cardinals,
LBDA-CR,Ronald Acuña Jr. / Chipper Jones,Atlanta Braves / Atlanta Braves,
LBDA-CS,Roger Clemens / Chris Sale,Boston Red Sox / Boston Red Sox,
LBDA-DA,Derek Jeter / Aaron Judge,New York Yankees / New York Yankees,
LBDA-FE,Frank Thomas / Eloy Jimenez,Chicago White Sox / Chicago White Sox,
LBDA-HM,Masahiro Tanaka / Hideki Matsui,New York Yankees / New York Yankees,
LBDA-IH,Ichiro / Hideki Matsui,New York Yankees / New York Yankees,
LBDA-JB,Buster Posey / Johnny Bench,San Francisco Giants / Cincinnati Reds,
LBDA-JC,Chris Sale / Jason Varitek,Boston Red Sox / Boston Red Sox,
LBDA-JR,Jim Thome / Rhys Hoskins,Philadelphia Phillies / Philadelphia Phillies,
LBDA-KI,Ichiro / Ken Griffey Jr.,Seattle Mariners / Seattle Mariners,
LBDA-KM,Ken Griffey Jr. / Mike Trout,Seattle Mariners / Angels,
LBDA-MR,Ronald Acuña Jr. / Mike Trout,Atlanta Braves / Angels,
LBDA-MW,Mark McGwire / Will Clark,Oakland Athletics / San Francisco Giants,
LBDA-RC,Christian Yelich / Robin Yount,Milwaukee Brewers / Milwaukee Brewers,
LBDA-SD,Tom Seaver / Jacob deGrom,New York Mets / New York Mets,
LBDA-VV,Vladimir Guerrero / Vladimir Guerrero Jr.,Montréal Expos / Toronto Blue Jays,
LBDA-WD,Dustin Pedroia / Wade Boggs,Boston Red Sox / Boston Red Sox,
