card_number,name,team,designations
MLBA-AJ,Aaron Judge,New York Yankees,
MLBA-AR,Anthony Rizzo,Chicago Cubs,
MLBA-BP,Buster Posey,San Francisco Giants,
MLBA-BS,Blake Snell,Tampa Bay Rays,
MLBA-CK,Clayton Kershaw,Los Angeles Dodgers,
MLBA-CS,Chris Sale,Boston Red Sox,
MLBA-CY,Christian Yelich,Milwaukee Brewers,
MLBA-FF,Freddie Freeman,Atlanta Braves,
MLBA-FL,Francisco Lindor,Cleveland Indians,
MLBA-JAL,Jose Altuve,Houston Astros,
MLBA-JB,Jose Berrios,Minnesota Twins,
MLBA-JRA,Jose Ramirez,Cleveland Indians,
MLBA-JS,Justin Smoak,Toronto Blue Jays,
MLBA-JSO,Juan Soto,Washington Nationals,
MLBA-JVO,Joey Votto,Cincinnati Reds,
MLBA-Jd,Jacob deGrom,New York Mets,
MLBA-KB,Kris Bryant,Chicago Cubs,
MLBA-KD,Khris Davis,Oakland Athletics,
MLBA-MC,Matt Carpenter,St. Louis Cardinals,
MLBA-MCA,Miguel Cabrera,Detroit Tigers,
MLBA-MCH,Matt Chapman,Oakland Athletics,
MLBA-MH,Mitch Haniger,Seattle Mariners,
MLBA-MT,Mike Trout,Angels,
MLBA-NS,Noah Syndergaard,New York Mets,
MLBA-RA,Ronald Acuña Jr.,Atlanta Braves,
MLBA-RH,Rhys Hoskins,Philadelphia Phillies,
MLBA-SO,Shohei Ohtani,Angels,
MLBA-SP,Salvador Perez,Kansas City Royals,
MLBA-TM,Trey Mancini,Baltimore Orioles,
MLBA-YM,Yadier Molina,St. Louis Cardinals,
