card_number,name,team,designations
RHLP-AN,Aaron Nola,Philadelphia Phillies,
RHLP-AR,Anthony Rizzo,Chicago Cubs,
RHLP-BS,Blake Snell,Tampa Bay Rays,
RHLP-CC,Carlos Correa,Houston Astros,
RHLP-CY,Christian Yelich,Milwaukee Brewers,
RHLP-DP,Dustin Pedroia,Boston Red Sox,
RHLP-FF,Freddie Freeman,Atlanta Braves,
RHLP-GS,George Springer,Houston Astros,
RHLP-JAL,Jose Altuve,Houston Astros,
RHLP-Jd,Jacob deGrom,New York Mets,
RHLP-MC,Michael Conforto,New York Mets,
RHLP-MT,Mike Trout,Angels,
RHLP-MTR,Mike Trout,Angels,
RHLP-NS,Noah Syndergaard,New York Mets,
RHLP-OA,Ozzie Albies,Atlanta Braves,
RHLP-PG,Paul Goldschmidt,Arizona Diamondbacks,
RHLP-RH,Rhys Hoskins,Philadelphia Phillies,
RHLP-SM,Starling Marte,Pittsburgh Pirates,
RHLP-SO,Shohei Ohtani,Angels,
RHLP-TM,Trey Mancini,Baltimore Orioles,
RHLP-TS,Travis Shaw,Milwaukee Brewers,
RHLP-YM,Yoan Moncada,Chicago White Sox,
RHLP-YMO,Yadier Molina,St. Louis Cardinals,
