card_number,name,team,designations
GT-1,Gleyber Torres,New York Yankees,
GT-3,Gleyber Torres,New York Yankees,
GT-6,Gleyber Torres,New York Yankees,
GT-7,Gleyber Torres,New York Yankees,
GT-8,Gleyber Torres,New York Yankees,
GT-11,Gleyber Torres,New York Yankees,
GT-14,Gleyber Torres,New York Yankees,
GT-15,Gleyber Torres,New York Yankees,
GT-17,Gleyber Torres,New York Yankees,
GT-20,Gleyber Torres,New York Yankees,
GT-24,Gleyber Torres,New York Yankees,
GT-25,Gleyber Torres,New York Yankees,
GT-27,Gleyber Torres,New York Yankees,
GT-28,Gleyber Torres,New York Yankees,
GT-30,Gleyber Torres,New York Yankees,
