card_number,name,team,designations
1,Ronald Acuña Jr.,Atlanta Braves,RCUP
2,Tyler Anderson,Colorado Rockies,
3,Eduardo Nunez,Boston Red Sox,WSH
4,Dereck Rodriguez,San Francisco Giants,FS
5,Chase Anderson,Milwaukee Brewers,
6,Max Scherzer,Washington Nationals,LL
7,Gleyber Torres,New York Yankees,RCUP
8,Adam Jones,Baltimore Orioles,
9,Ben Zobrist,Chicago Cubs,
10,Clayton Kershaw,Los Angeles Dodgers,
11,Mike Zunino,Seattle Mariners,
12,Crackin' Jokes,Major League Baseball,
13,David Price,Boston Red Sox,
14,The Yankees Win!,New York Yankees,
15,J.P. Crawford,Philadelphia Phillies,
16,Charlie Blackmon,Colorado Rockies,
17,Caleb Joseph,Baltimore Orioles,
18,Blake Parker,Angels,
19,Jacob deGrom,New York Mets,LL
20,Jose Urena,Miami Marlins,
21,Jean Segura,Seattle Mariners,
22,Adalberto Mondesi,Kansas City Royals,
23,J.D. Martinez,Boston Red Sox,LL
24,Blake Snell,Tampa Bay Rays,LL
25,Chad Green,New York Yankees,
26,Angel Stadium,Angels,
27,Mike Leake,Seattle Mariners,
28,Boston's Boys,Boston Red Sox,
29,Eugenio Suarez,Cincinnati Reds,
30,Josh Hader,Milwaukee Brewers,
31,Busch Stadium,St. Louis Cardinals,
32,Carlos Correa,Houston Astros,
33,Jacob Nix,San Diego Padres,RC
34,Josh Donaldson,Cleveland Indians,
35,Joey Rickard,Baltimore Orioles,
36,Paul Blackburn,Oakland Athletics,
37,Marcus Stroman,Toronto Blue Jays,
38,Kolby Allard,Atlanta Braves,RC
39,Richard Urena,Toronto Blue Jays,
40,Jon Lester,Chicago Cubs,
41,Corey Seager,Los Angeles Dodgers,
42,Edwin Encarnacion,Cleveland Indians,
43,Nick Burdi,Pittsburgh Pirates,RC
44,Jay Bruce,New York Mets,
45,Nick Pivetta,Philadelphia Phillies,
46,Jose Abreu,Chicago White Sox,
47,Yankee Stadium,New York Yankees,
48,PNC Park,Pittsburgh Pirates,
49,Michael Kopech,Chicago White Sox,RC
50,Mookie Betts,Boston Red Sox,
51,Michael Brantley,Cleveland Indians,
52,J.T. Realmuto,Miami Marlins,
53,Brandon Crawford,San Francisco Giants,
54,Rick Porcello,Boston Red Sox,
55,Yuli Gurriel,Houston Astros,
56,Christian Villanueva,San Diego Padres,
57,Justin Verlander,Houston Astros,
58,Carlos Martinez,St. Louis Cardinals,
59,Zack Godley,Arizona Diamondbacks,
60,Kyle Tucker,Houston Astros,RC
61,Touki Toussaint,Atlanta Braves,RC
62,Elvis Andrus,Texas Rangers,
63,Jake Odorizzi,Minnesota Twins,
64,Ramon Laureano,Oakland Athletics,RC
65,Derek Dietrich,Miami Marlins,
66,Stephen Piscotty,Oakland Athletics,
67,Danny Jansen,Toronto Blue Jays,RC
68,Nick Ahmed,Arizona Diamondbacks,
69,Jorge Polanco,Minnesota Twins,
70,Nolan Arenado,Colorado Rockies,LL
71,SunTrust Park,Atlanta Braves,
72,Chris Taylor,Los Angeles Dodgers,
73,Jon Gray,Colorado Rockies,
74,Chad Bettis,Colorado Rockies,
75,Safeco Field,Seattle Mariners,
76,J.D. Martinez,Boston Red Sox,WSH
77,J.D. Martinez,Boston Red Sox,
78,Francisco Arcia,Angels,RC
79,Miller Park,Milwaukee Brewers,
80,Tim Anderson,Chicago White Sox,
81,Wade Davis,Colorado Rockies,
