card_number,name,team,designations
150-1,Babe Ruth,Boston Red Sox,GM
150-2,Babe Ruth,New York Yankees,GM
150-3,Lou Gehrig,New York Yankees,GM
150-4,Roger Maris,New York Yankees,GM
150-5,Cal Ripken Jr.,Baltimore Orioles,GM
150-6,Carlton Fisk,Boston Red Sox,GM
150-7,Reggie Jackson,New York Yankees,GM
150-8,Jackie Robinson,Brooklyn Dodgers,GM
150-9,Babe Ruth,New York Yankees,GM
150-10,Nolan Ryan,Texas Rangers,GM
150-11,Cal Ripken Jr.,Baltimore Orioles,GM
150-12,Babe Ruth,New York Yankees,GM
150-13,Babe Ruth,New York Yankees,GM
150-14,Ty Cobb,Detroit Tigers,GM
150-15,Mike Piazza,New York Mets,GM
150-16,Nolan Ryan,Houston Astros,GM
150-17,Rickey Henderson,Oakland Athletics,GM
150-18,Ichiro,Seattle Mariners,GM
150-19,Roberto Clemente,Pittsburgh Pirates,GM
150-20,David Ortiz,Boston Red Sox,GM
150-21,Ty Cobb,Detroit Tigers,GM
150-22,Cal Ripken Jr.,Baltimore Orioles,GM
150-23,Jackie Robinson,Brooklyn Dodgers,GM
150-24,Mariano Rivera,New York Yankees,GM
150-25,Ozzie Smith,St. Louis Cardinals,GM
150-26,Derek Jeter,New York Yankees,GM
150-27,The Topps Company Brooklyn Greatest Moments,,
150-28,Nolan Ryan,California Angels,GM
150-29,Lou Brock,St. Louis Cardinals,GM
150-30,William Howard Taft President of the United StateGsreatest Moments,,
150-31,Catfish Hunter,Oakland Athletics,GM
150-32,Ted Williams,Boston Red Sox,GM
150-33,Hank Aaron,Atlanta Braves,GM
150-34,Ted Williams,Boston Red Sox,GM
150-35,Hank Aaron,Atlanta Braves,GM
150-36,Wrigley Field,Chicago Cubs,GM
150-37,Bill Mazeroski,Pittsburgh Pirates,GM
150-38,Brooks Robinson,Baltimore Orioles,GM
150-39,Phil Niekro,New York Yankees,GM
150-40,Duke Snider,Brooklyn Dodgers,GM
150-41,Lou Gehrig,New York Yankees,GM
150-42,Ted Williams,Boston Red Sox,GM
150-43,Larry Doby,Cleveland Indians,GM
150-44,George Brett,Kansas City Royals,GM
150-45,Sandy Koufax,Los Angeles Dodgers,GM
150-46,Enos Slaughter,St. Louis Cardinals,GM
150-47,Sandy Koufax,Los Angeles Dodgers,GM
150-48,Ted Williams,Boston Red Sox,GM
150-49,Eddie Mathews,Milwaukee Braves,GM
150-50,Oriole Park at Camden Yards,Baltimore Orioles,GM
150-51,Babe Ruth,New York Yankees,GP
150-52,Jackie Robinson,Brooklyn Dodgers,GP
150-53,Lou Gehrig,New York Yankees,GP
150-54,Clayton Kershaw,Los Angeles Dodgers,GP
150-55,Robin Yount,Milwaukee Brewers,GP
150-56,Tom Glavine,Atlanta Braves,GP
150-57,Vladimir Guerrero,Montréal Expos,GP
150-58,Don Mattingly,New York Yankees,GP
150-59,Reggie Jackson,New York Yankees,GP
150-60,Ivan Rodriguez,Texas Rangers,GP
150-61,Roger Maris,New York Yankees,GP
150-62,Dennis Eckersley,Oakland Athletics,GP
150-63,Mariano Rivera,New York Yankees,GP
150-64,Frank Thomas,Chicago White Sox,GP
150-65,Adrian Beltre,Texas Rangers,GP
150-66,Justin Verlander,Houston Astros,GP
150-67,Rod Carew,Minnesota Twins,GP
150-68,Bryce Harper,Washington Nationals,GP
150-69,Ernie Banks,Chicago Cubs,GP
150-70,Mike Piazza,New York Mets,GP
150-71,Mark McGwire,Oakland Athletics,GP
