card_number,name,team,designations
CLL-1,Ernie Banks,Chicago Cubs,
CLL-2,Mike Trout,Angels,
CLL-3,Rickey Henderson,Oakland Athletics,
CLL-4,Juan Marichal,San Francisco Giants,
CLL-5,Rod Carew,California Angels,
CLL-6,Ichiro,Seattle Mariners,
CLL-7,Clayton Kershaw,Los Angeles Dodgers,
CLL-8,Frank Thomas,Chicago White Sox,
CLL-9,Reggie Jackson,Oakland Athletics,
CLL-10,Brooks Robinson,Baltimore Orioles,
CLL-11,Corey Seager,Los Angeles Dodgers,
CLL-12,Paul Goldschmidt,Arizona Diamondbacks,
CLL-13,Buster Posey,San Francisco Giants,
CLL-14,Trevor Hoffman,San Diego Padres,
CLL-15,Adrian Beltre,Texas Rangers,
CLL-16,Mark McGwire,Oakland Athletics,
CLL-17,Will Clark,San Francisco Giants,
CLL-18,Shohei Ohtani,Angels,
CLL-19,Willie McCovey,San Francisco Giants,
CLL-20,Randy Johnson,Seattle Mariners,
CLL-21,Fergie Jenkins,Chicago Cubs,
CLL-22,Albert Pujols,Angels,
CLL-23,Kris Bryant,Chicago Cubs,
CLL-24,Joey Votto,Cincinnati Reds,
CLL-25,Francisco Lindor,Cleveland Indians,
CLL-26,Nolan Arenado,Colorado Rockies,
CLL-27,Charlie Blackmon,Colorado Rockies,
CLL-28,Khris Davis,Oakland Athletics,
CLL-29,Robin Yount,Milwaukee Brewers,
CLL-30,Cody Bellinger,Los Angeles Dodgers,
