card_number,name,team,designations
ES-1,T-Mobile Park / The Kingdome,Seattle Mariners / Seattle Mariners,
ES-2,Citizens Bank Park / Veterans Stadium,Philadelphia Phillies / Philadelphia Phillies,
ES-3,Minute Maid Park / Astrodome,Houston Astros / Houston Astros,
ES-4,Comerica Park / Tiger Stadium,Detroit Tigers / Detroit Tigers,
ES-5,Oracle Park / Polo Grounds,San Francisco Giants / New York Giants,
ES-6,Guaranteed Rate Field / Comiskey Park,Chicago White Sox / Chicago White Sox,
ES-7,SunTrust Park / Turner Field,Atlanta Braves / Atlanta Braves,
ES-8,Miller Park / Milwaukee County Stadium,Milwaukee Brewers / Milwaukee Brewers,
ES-9,Municipal Stadium / Kauffman Stadium,Kansas City Royals / Kansas City Royals,
ES-10,Target Field / Hubert H. Humphrey Metrodome,Minnesota Twins / Minnesota Twins,
