card_number,name,team,designations
EL-1,Yadier Molina / Bob Gibson,St. Louis Cardinals / St. Louis Cardinals,
EL-2,Lewis Brinson / Miguel Cabrera,Miami Marlins / Florida Marlins,
EL-3,Ichiro / Ken Griffey JR.,Seattle Mariners / Seattle Mariners,
EL-4,Rhys Hoskins / Steve Carlton,Philadelphia Phillies / Philadelphia Phillies,
EL-5,Buster Posey / Mel Ott,San Francisco Giants / New York Giants,
EL-6,Joey Votto / Johnny Bench,Cincinnati Reds / Cincinnati Reds,
EL-7,Mike Trout / Rod Carew,Angels / California Angels,
EL-8,Frank Thomas / Carlton Fisk,Chicago White Sox / Chicago White Sox,
EL-9,Roberto Clemente / Starling Marte,Pittsburgh Pirates / Pittsburgh Pirates,
EL-10,Jose Altuve / Nolan Ryan,Houston Astros / Houston Astros,
