card_number,name,team,designations
EO-1,Jackie Robinson / Clayton Kershaw,Brooklyn Dodgers / Los Angeles Dodgers,TU
EO-2,Hank Aaron / Ronald Acuña Jr.,Milwaukee Braves / Atlanta Braves,TU
EO-3,Bryce Harper / Vladimir Guerrero,Washington Nationals / Montréal Expos,TU
EO-4,Harmon Killebrew / Joe Mauer,Washington Senators / Minnesota Twins,TU
EO-5,Blake Snell / Wade Boggs,Tampa Bay Rays / Tampa Bay Devil Rays,TU
EO-6,Bob Feller / Francisco Lindor,Cleveland Indians / Cleveland Indians,TU
EO-7,Babe Ruth / Aaron Judge,New York Yankees / New York Yankees,TU
EO-8,Ty Cobb / Miguel Cabrera,Detroit Tigers / Detroit Tigers,TU
EO-9,Andrew Benintendi / Ted Williams,Boston Red Sox / Boston Red Sox,TU
EO-10,Kris Bryant / Ernie Banks,Chicago Cubs / Chicago Cubs,TU
EO-11,Fenway Park,Boston Red Sox,STA
EO-12,Wrigley Field,Chicago Cubs,STA
EO-13,Yankee Stadium,New York Yankees,STA
EO-14,Candlestick Park / At&t Park,San Francisco Giants / San Francisco Giants,STA
EO-15,Ebbets Field / Dodger Stadium,Brooklyn Dodgers / Los Angeles Dodgers,STA
EO-16,Forbes Field / PNC Park,Pittsburgh Pirates / Pittsburgh Pirates,STA
EO-17,Sportsman's Park / Busch Stadium,St. Louis Cardinals / St. Louis Cardinals,STA
EO-18,Shea Stadium / Citi Field,New York Mets / New York Mets,STA
EO-19,Memorial Stadium / Oriole Park at Camden Yards,Baltimore Orioles / Baltimore Orioles,STA
EO-20,Crosley Field / Great American Ball Park,Cincinnati Reds / Cincinnati Reds,STA
EO-21,Vintage Baseball Equipment / Modern Baseball Equipment, / ,
EO-22,Vintage Catcher's Mask Equipment / Modern Catcher's Mask Equipment, / ,
EO-23,Vintage Baseball Glove Equipment / Modern Baseball Glove Equipment, / ,
EO-24,Vintage Sunglasses Equipment / Modern Sunglasses Equipment, / ,
EO-25,Vintage Cleats Equipment / Modern Cleats Equipment, / ,
