card_number,name,team,designations
FOF-1,Mike Trout / Rod Carew / Nolan Ryan,Angels / California Angels / California Angels,
FOF-2,Mark Grace / Luis Gonzalez / Zack Greinke,Arizona Diamondbacks / Arizona Diamondbacks / Arizona Diamondbacks,
FOF-3,Hank Aaron / Chipper Jones / Freddie Freeman,Atlanta Braves / Atlanta Braves / Atlanta Braves,
FOF-4,Brooks Robinson / Cal Ripken Jr. / Trey Mancini,Baltimore Orioles / Baltimore Orioles / Baltimore Orioles,
FOF-5,David Ortiz / Ted Williams / Mookie Betts,Boston Red Sox / Boston Red Sox / Boston Red Sox,
FOF-6,Ryne Sandberg / Ernie Banks / Kris Bryant,Chicago Cubs / Chicago Cubs / Chicago Cubs,
FOF-7,Carlton Fisk / Frank Thomas / Jose Abreu,Chicago White Sox / Chicago White Sox / Chicago White Sox,
FOF-8,Frank Robinson / Joey Votto / Johnny Bench,Cincinnati Reds / Cincinnati Reds / Cincinnati Reds,
FOF-9,Bob Feller / Tris Speaker / Francisco Lindor,Cleveland Indians / Cleveland Indians / Cleveland Indians,
FOF-10,Troy Tulowitzki / Todd Helton / Nolan Arenado,Colorado Rockies / Colorado Rockies / Colorado Rockies,
FOF-11,Ty Cobb / Al Kaline / Miguel Cabrera,Detroit Tigers / Detroit Tigers / Detroit Tigers,
FOF-12,Jeff Bagwell / Nolan Ryan / Jose Altuve,Houston Astros / Houston Astros / Houston Astros,
FOF-13,Bo Jackson / George Brett / Salvador Perez,Kansas City Royals / Kansas City Royals / Kansas City Royals,
FOF-14,Jackie Robinson / Sandy Koufax / Clayton Kershaw,Los Angeles Dodgers / Los Angeles Dodgers / Los Angeles Dodgers,
FOF-15,Charles Johnson / Miguel Cabrera / Lewis Brinson,Florida Marlins / Florida Marlins / Miami Marlins,
FOF-16,Rollie Fingers / Robin Yount / Christian Yelich,Milwaukee Brewers / Milwaukee Brewers / Milwaukee Brewers,
FOF-17,Harmon Killebrew / Rod Carew / Joe Mauer,Minnesota Twins / Minnesota Twins / Minnesota Twins,
FOF-18,Mike Piazza / David Wright / Jacob deGrom,New York Mets / New York Mets / New York Mets,
FOF-19,Babe Ruth / Derek Jeter / Aaron Judge,New York Yankees / New York Yankees / New York Yankees,
FOF-20,Mark McGwire / Reggie Jackson / Khris Davis,Oakland Athletics / Oakland Athletics / Oakland Athletics,
FOF-21,Chase Utley / Steve Carlton / Rhys Hoskins,Philadelphia Phillies / Philadelphia Phillies / Philadelphia Phillies,
FOF-22,Honus Wagner / Roberto Clemente / Starling Marte,Pittsburgh Pirates / Pittsburgh Pirates / Pittsburgh Pirates,
FOF-23,Dave Winfield / Wil Myers / Tony Gwynn,San Diego Padres / San Diego Padres / San Diego Padres,
FOF-24,Nolan Ryan / Ivan Rodriguez / Adrian Beltre,Texas Rangers / Texas Rangers / Texas Rangers,
FOF-25,Mel Ott / Willie McCovey / Buster Posey,San Francisco Giants / San Francisco Giants / San Francisco Giants,
FOF-26,Ken Griffey Jr. / Ichiro / Felix Hernandez,Seattle Mariners / Seattle Mariners / Seattle Mariners,
FOF-27,Rogers Hornsby / Yadier Molina / Stan Musial,St. Louis Cardinals / St. Louis Cardinals / St. Louis Cardinals,
FOF-28,Roberto Alomar / Roy Halladay / Justin Smoak,Toronto Blue Jays / Toronto Blue Jays / Toronto Blue Jays,
FOF-29,Andre Dawson / Max Scherzer / Vladimir Guerrero,Montréal Expos / Washington Nationals / Montréal Expos,
FOF-30,Fred McGriff / Blake Snell / Evan Longoria,Tampa Bay Rays / Tampa Bay Rays / Tampa Bay Rays,
