card_number,name,team,designations
GM-1,Don Larsen,New York Yankees,
GM-2,Christy Mathewson,New York Giants,
GM-3,Mel Ott,New York Giants,
GM-4,Roger Clemens,Boston Red Sox,
GM-5,Mark McGwire,St. Louis Cardinals,
GM-6,Bob Feller,Cleveland Indians,
GM-7,Ted Williams,Boston Red Sox,
GM-8,Derek Jeter,New York Yankees,
GM-9,Bartolo Colon,New York Mets,
GM-10,Bo Jackson,Kansas City Royals,
GM-11,Edgar Martinez,Seattle Mariners,
GM-12,Ken Griffey Jr.,Seattle Mariners,
GM-13,Bob Gibson,St. Louis Cardinals,
GM-14,Christy Mathewson,New York Giants,
GM-15,Derek Jeter,New York Yankees,
GM-16,Sandy Koufax,Los Angeles Dodgers,
GM-17,Albert Pujols,Angels,
GM-18,Aaron Judge,New York Yankees,
GM-19,Bryce Harper,Washington Nationals,
GM-20,Mariano Rivera,New York Yankees,
GM-21,Max Scherzer,Washington Nationals,
GM-22,Anthony Rizzo,Chicago Cubs,
GM-23,Ted Williams,Boston Red Sox,
GM-24,Edinson Volquez,Miami Marlins,
GM-25,David Freese,St. Louis Cardinals,
