card_number,name,team,designations
GP-1,Max Scherzer,Washington Nationals,
GP-2,Barry Larkin,Cincinnati Reds,
GP-3,Joey Votto,Cincinnati Reds,
GP-4,Johnny Bench,Cincinnati Reds,
GP-5,Rickey Henderson,Oakland Athletics,
GP-6,Cal Ripken Jr.,Baltimore Orioles,
GP-7,Yadier Molina,St. Louis Cardinals,
GP-8,Buster Posey,San Francisco Giants,
GP-9,Honus Wagner,Pittsburgh Pirates,
GP-10,Sandy Koufax,Los Angeles Dodgers,
GP-11,Stan Musial,St. Louis Cardinals,
GP-12,Chipper Jones,Atlanta Braves,
GP-13,Ryne Sandberg,Chicago Cubs,
GP-14,Ozzie Smith,St. Louis Cardinals,
GP-15,John Smoltz,Atlanta Braves,
GP-16,Alex Rodriguez,Seattle Mariners,
GP-17,Jeff Bagwell,Houston Astros,
GP-18,Tony Gwynn,San Diego Padres,
GP-19,Rogers Hornsby,St. Louis Cardinals,
GP-20,Mel Ott,New York Giants,
GP-21,Christy Mathewson,New York Giants,
GP-22,Johnny Mize,St. Louis Cardinals,
GP-23,Lefty Grove Philadelphia,Athletics,
GP-24,Tris Speaker,Boston Red Sox,
GP-25,Dizzy Dean,St. Louis Cardinals,
GP-26,Don Larsen,New York Yankees,
GP-27,Pee Wee Reese,Brooklyn Dodgers,
GP-28,Gil Hodges,Brooklyn Dodgers,
GP-29,Whitey Ford,New York Yankees,
GP-30,Billy Williams,Chicago Cubs,
GP-31,Dave Winfield,New York Yankees,
GP-32,Tony Pérez,Cincinnati Reds,
GP-33,Bill Mazeroski,Pittsburgh Pirates,
GP-34,Rollie Fingers,Oakland Athletics,
GP-35,Ken Griffey Jr.,Seattle Mariners,
GP-36,Frank Robinson,Baltimore Orioles,
GP-37,Phil Rizzuto,New York Yankees,
GP-38,Joe Morgan,Cincinnati Reds,
GP-39,Eddie Murray,Baltimore Orioles,
GP-40,Phil Niekro,Atlanta Braves,
GP-41,Red Schoendienst,St. Louis Cardinals,
GP-42,Enos Slaughter,St. Louis Cardinals,
GP-43,Willie Stargell,Pittsburgh Pirates,
GP-44,Fergie Jenkins,Chicago Cubs,
GP-45,Ralph Kiner,Pittsburgh Pirates,
GP-46,Catfish Hunter,Oakland Athletics,
GP-47,Monte Irvin,New York Giants,
GP-48,Orlando Cepeda,San Francisco Giants,
GP-49,Larry Doby,Cleveland Indians,
GP-50,Roberto Alomar,Toronto Blue Jays,
