card_number,name,team,designations
GS-1,Dwight Gooden,New York Mets,
GS-2,Roger Clemens,Boston Red Sox,
GS-3,Tony Gwynn,San Diego Padres,
GS-4,Christy Mathewson,New York Giants,
GS-5,Tris Speaker,Boston Red Sox,
GS-6,Mel Ott,New York Giants,
GS-7,Frank Robinson,Baltimore Orioles,
GS-8,David Ortiz,Boston Red Sox,
GS-9,Roberto Clemente,Pittsburgh Pirates,
GS-10,Mariano Rivera,New York Yankees,
GS-11,Lou Brock,St. Louis Cardinals,
GS-12,Brooks Robinson,Baltimore Orioles,
GS-13,Duke Snider,Brooklyn Dodgers,
GS-14,George Brett,Kansas City Royals,
GS-15,Eddie Mathews,Milwaukee Braves,
GS-16,Reggie Jackson,Oakland Athletics,
GS-17,Al Kaline,Detroit Tigers,
GS-18,Bob Feller,Cleveland Indians,
GS-19,Whitey Ford,New York Yankees,
GS-20,Stan Musial,St. Louis Cardinals,
GS-21,Johnny Mize,St. Louis Cardinals,
GS-22,Honus Wagner,Pittsburgh Pirates,
GS-23,Dizzy Dean,St. Louis Cardinals,
GS-24,Aaron Judge,New York Yankees,
GS-25,Ken Griffey Jr.,Seattle Mariners,
