card_number,name,team,designations
HTL-1,Sandy Koufax / Clayton Kershaw,Los Angeles Dodgers / Los Angeles Dodgers,
HTL-2,Chipper Jones / Eddie Mathews,Atlanta Braves / Milwaukee Braves,
HTL-3,Mookie Betts / Ted Williams,Boston Red Sox / Boston Red Sox,
HTL-4,Ken Griffey Jr. / Hank Aaron,Seattle Mariners / Atlanta Braves,
HTL-5,Mike Trout / Ken Griffey Jr.,Angels / Seattle Mariners,
HTL-6,Aaron Judge / Babe Ruth,New York Yankees / New York Yankees,
HTL-7,Lou Gehrig / Albert Pujols,New York Yankees / Angels,
HTL-8,Nolan Arenado / Brooks Robinson,Colorado Rockies / Baltimore Orioles,
HTL-9,Roger Clemens / Cy Young,Boston Red Sox / Boston Red Sox,
HTL-10,Carl Yastrzemski / Andrew Benintendi,Boston Red Sox / Boston Red Sox,
HTL-11,Javier Baez / Ernie Banks,Chicago Cubs / Chicago Cubs,
HTL-12,Pedro Martinez / Juan Marichal,Boston Red Sox / San Francisco Giants,
HTL-13,Rickey Henderson / Ty Cobb,Oakland Athletics / Detroit Tigers,
HTL-14,Manny Machado / Alex Rodriguez,San Diego Padres / Seattle Mariners,
HTL-15,Chris Sale / Randy Johnson,Boston Red Sox / Seattle Mariners,
HTL-16,Reggie Jackson / Bryce Harper,New York Yankees / Philadelphia Phillies,
HTL-17,Justin Verlander / Nolan Ryan,Houston Astros / Houston Astros,
HTL-18,Tony Gwynn / Stan Musial,San Diego Padres / St. Louis Cardinals,
HTL-19,Andy Pettitte / Whitey Ford,New York Yankees / New York Yankees,
HTL-20,Giancarlo Stanton / Roger Maris,New York Yankees / New York Yankees,
HTL-21,Roberto Clemente / Honus Wagner,Pittsburgh Pirates / Pittsburgh Pirates,
HTL-22,Derek Jeter / Jackie Robinson,New York Yankees / Brooklyn Dodgers,
HTL-23,Shohei Ohtani / Ichiro,Angels / Seattle Mariners,RC
HTL-24,Aaron Nola / Steve Carlton,Philadelphia Phillies / Philadelphia Phillies,
HTL-25,Khris Davis / Reggie Jackson,Oakland Athletics / Oakland Athletics,
HTL-26,Bob Gibson / Dizzy Dean,St. Louis Cardinals / St. Louis Cardinals,
HTL-27,Miguel Cabrera / Al Kaline,Detroit Tigers / Detroit Tigers,
HTL-28,Buster Posey / Johnny Bench,San Francisco Giants / Cincinnati Reds,
HTL-29,Ivan Rodriguez / Yadier Molina,Texas Rangers / St. Louis Cardinals,
HTL-30,Kris Bryant / Ryne Sandberg,Chicago Cubs / Chicago Cubs,
HTL-31,Mariano Rivera / Dennis Eckersley,New York Yankees / Oakland Athletics,
HTL-32,Jacob deGrom / Tom Seaver,New York Mets / New York Mets,
HTL-33,Max Scherzer / Christy Mathewson,Washington Nationals / New York Giants,
HTL-34,Corey Kluber / Bob Feller,Cleveland Indians / Cleveland Indians,
HTL-35,Josh Donaldson / Chipper Jones,Atlanta Braves / Atlanta Braves,
HTL-36,Joey Votto / Frank Robinson,Cincinnati Reds / Cincinnati Reds,
HTL-37,Warren Spahn / Tom Glavine,Milwaukee Braves / Atlanta Braves,
HTL-38,Francisco Lindor / Roberto Alomar,Cleveland Indians / Cleveland Indians,
HTL-39,Johnny Mize / Paul Goldschmidt,St. Louis Cardinals / St. Louis Cardinals,
HTL-40,Yusei Kikuchi / Masahiro Tanaka,Seattle Mariners / New York Yankees,
HTL-41,Buster Posey / Will Clark,San Francisco Giants / San Francisco Giants,
HTL-42,Andruw Jones / Ronald Acuña Jr.,Atlanta Braves / Atlanta Braves,
HTL-43,Charlie Blackmon / Todd Helton,Colorado Rockies / Colorado Rockies,
HTL-44,Corey Seager / Pee Wee Reese,Los Angeles Dodgers / Brooklyn Dodgers,
HTL-45,Cody Bellinger / Duke Snider,Los Angeles Dodgers / Brooklyn Dodgers,
HTL-46,Freddie Freeman / Fred McGriff,Atlanta Braves / Atlanta Braves,
HTL-47,Christian Yelich / Robin Yount,Milwaukee Brewers / Milwaukee Brewers,
HTL-48,J.D. Martinez / David Ortiz,Boston Red Sox / Boston Red Sox,
HTL-49,Mark McGwire / Reggie Jackson,Oakland Athletics / Oakland Athletics,
HTL-50,Carlos Correa / Cal Ripken Jr.,Houston Astros / Baltimore Orioles,RC
