card_number,name,team,designations
HRC-1,Mike Trout,Angels,
HRC-2,J.D. Martinez,Boston Red Sox,
HRC-3,Giancarlo Stanton,New York Yankees,
HRC-4,Jose Ramirez,Cleveland Indians,
HRC-5,Khris Davis,Oakland Athletics,
HRC-6,Aaron Judge,New York Yankees,
HRC-7,Bryce Harper,Washington Nationals,
HRC-8,Manny Machado,Los Angeles Dodgers,
HRC-9,Nolan Arenado,Colorado Rockies,
HRC-10,Paul Goldschmidt,Arizona Diamondbacks,
HRC-11,Mookie Betts,Boston Red Sox,
HRC-12,Kris Bryant,Chicago Cubs,
HRC-13,Javier Baez,Chicago Cubs,
HRC-14,Alex Bregman,Houston Astros,
HRC-15,Francisco Lindor,Cleveland Indians,
HRC-16,Ronald Acuña Jr.,Atlanta Braves,
HRC-17,Rhys Hoskins,Philadelphia Phillies,
HRC-18,Shohei Ohtani,Angels,
HRC-19,Carlos Correa,Houston Astros,
HRC-20,Anthony Rizzo,Chicago Cubs,
HRC-21,Gleyber Torres,New York Yankees,
HRC-22,Andrew Benintendi,Boston Red Sox,
HRC-23,Ozzie Albies,Atlanta Braves,
HRC-24,Joey Votto,Cincinnati Reds,
HRC-25,Trevor Story,Colorado Rockies,
HRC-26,Freddie Freeman,Atlanta Braves,
HRC-27,Jose Altuve,Houston Astros,
HRC-28,George Springer,Houston Astros,
HRC-29,Matt Carpenter,St. Louis Cardinals,
HRC-30,Gary Sanchez,New York Yankees,
HRC-31,Kyle Schwarber,Chicago Cubs,
HRC-32,Cody Bellinger,Los Angeles Dodgers,
HRC-33,Miguel Andujar,New York Yankees,
HRC-34,Christian Yelich,Milwaukee Brewers,
HRC-35,Juan Soto,Washington Nationals,
