card_number,name,team,designations
ICR-1,Ty Cobb,Detroit Tigers,
ICR-2,Ty Cobb,Detroit Tigers,
ICR-3,Babe Ruth,Boston Red Sox,
ICR-4,Babe Ruth,New York Yankees,
ICR-5,Lou Gehrig,New York Yankees,
ICR-6,Jackie Robinson,Brooklyn Dodgers,
ICR-7,Al Kaline,Detroit Tigers,
ICR-8,Roberto Clemente,Pittsburgh Pirates,
ICR-9,Jackie Robinson,Brooklyn Dodgers,
ICR-10,Roberto Clemente,Pittsburgh Pirates,
ICR-11,Bob Gibson,St. Louis Cardinals,
ICR-12,Carl Yastrzemski,Boston Red Sox,
ICR-13,Rod Carew,Minnesota Twins,
ICR-14,Robin Yount,Milwaukee Brewers,
ICR-15,Don Mattingly,New York Yankees,
ICR-16,Jose Canseco,Oakland Athletics,
ICR-17,Bo Jackson,Kansas City Royals,
ICR-18,Mike Piazza,Los Angeles Dodgers,
ICR-19,Derek Jeter,New York Yankees,
ICR-20,Miguel Cabrera,Florida Marlins,
ICR-21,Albert Pujols,St. Louis Cardinals,
ICR-22,Rickey Henderson,Oakland Athletics,
ICR-23,Justin Verlander,Detroit Tigers,
ICR-24,Clayton Kershaw,Los Angeles Dodgers,
ICR-25,Cal Ripken Jr.,Baltimore Orioles,
ICR-26,Buster Posey,San Francisco Giants,
ICR-27,Stephen Strasburg,Washington Nationals,
ICR-28,Bryce Harper,Washington Nationals,
ICR-29,Mike Trout,Angels,
ICR-30,Mike Trout,Angels,
ICR-31,Mookie Betts,Boston Red Sox,
ICR-32,Kris Bryant,Chicago Cubs,
ICR-33,Aaron Judge,New York Yankees,
ICR-34,Ichiro,Seattle Mariners,
ICR-35,Tom Seaver,New York Mets,
ICR-36,Nolan Ryan,New York Mets,
ICR-37,Wade Boggs,Boston Red Sox,
ICR-38,Mark McGwire,Oakland Athletics,
ICR-39,Bob Feller,Cleveland Indians,
ICR-40,Duke Snider,Brooklyn Dodgers,
ICR-41,Eddie Mathews Boston Braves,,
ICR-42,Warren Spahn,Milwaukee Braves,
ICR-43,George Brett,Kansas City Royals,
ICR-44,Brooks Robinson,Baltimore Orioles,
ICR-45,Hank Aaron,Milwaukee Braves,
ICR-46,Hank Aaron,Milwaukee Braves,
ICR-47,Frank Thomas,Chicago White Sox,
ICR-48,Mariano Rivera,New York Yankees,
ICR-49,Sandy Koufax,Brooklyn Dodgers,
ICR-50,Ted Williams,Boston Red Sox,
ICR-51,Ty Cobb,Detroit Tigers,
ICR-52,Ty Cobb,Detroit Tigers,
ICR-53,Lou Gehrig,New York Yankees,
ICR-54,Whitey Ford,New York Yankees,
ICR-55,Lou Gehrig,New York Yankees,
ICR-56,Monte Irvin,New York Giants,
ICR-57,Warren Spahn Boston Braves,,
ICR-58,Duke Snider,Brooklyn Dodgers,
ICR-59,Bob Feller,Cleveland Indians,
ICR-60,Jackie Robinson,Brooklyn Dodgers,
ICR-61,Ted Williams,Boston Red Sox,
ICR-62,Ernie Banks,Chicago Cubs,
ICR-63,Harmon Killebrew,Washington Senators,
ICR-64,Jackie Robinson,Brooklyn Dodgers,
ICR-65,Roberto Clemente,Pittsburgh Pirates,
ICR-66,Ted Williams,Boston Red Sox,
ICR-67,Sandy Koufax,Brooklyn Dodgers,
ICR-68,Hank Aaron,Milwaukee Braves,
ICR-69,Sandy Koufax,Brooklyn Dodgers,
ICR-70,Roger Maris,Cleveland Indians,
ICR-71,Willie McCovey,San Francisco Giants,
ICR-72,Carl Yastrzemski,Boston Red Sox,
ICR-73,Juan Marichal,San Francisco Giants,
ICR-74,Roger Maris,New York Yankees,
ICR-75,Lou Brock,Chicago Cubs,
ICR-76,Jim Palmer,Baltimore Orioles,
ICR-77,Joe Morgan,Houston Astros,
ICR-78,Steve Carlton,St. Louis Cardinals,
ICR-79,Reggie Jackson,Oakland Athletics,
ICR-80,Nolan Ryan,New York Mets,
ICR-81,Bert Blyleven,Minnesota Twins,
ICR-82,Carlton Fisk,Boston Red Sox,
ICR-83,Roberto Clemente,Pittsburgh Pirates,
ICR-84,Hank Aaron,Atlanta Braves,
ICR-85,Dennis Eckersley,Cleveland Indians,
ICR-86,Eddie Murray,Baltimore Orioles,
ICR-87,Dale Murphy,Atlanta Braves,
ICR-88,Ryne Sandberg,Chicago Cubs,
ICR-89,Darryl Strawberry,New York Mets,
ICR-90,Roger Clemens,Boston Red Sox,
ICR-91,Will Clark,San Francisco Giants,
ICR-92,Bo Jackson,Kansas City Royals,
ICR-93,Roberto Alomar,San Diego Padres,
ICR-94,Randy Johnson,Montréal Expos,
ICR-95,Derek Jeter,New York Yankees,
ICR-96,Derek Jeter,New York Yankees,
ICR-97,Vladimir Guerrero,Montréal Expos,
ICR-98,Bryce Harper,Washington Nationals,
ICR-99,Mike Trout,Angels,
ICR-100,Manny Machado,Baltimore Orioles,
