card_number,name,team,designations
GT-1,Gleyber Torres,New York Yankees,
GT-2,Gleyber Torres,New York Yankees,
GT-3,Gleyber Torres,New York Yankees,
GT-4,Gleyber Torres,New York Yankees,
GT-5,Gleyber Torres,New York Yankees,
GT-6,Gleyber Torres,New York Yankees,
GT-7,Gleyber Torres,New York Yankees,
GT-8,Gleyber Torres,New York Yankees,
GT-9,Gleyber Torres,New York Yankees,
GT-10,Gleyber Torres,New York Yankees,
GT-11,Gleyber Torres,New York Yankees,
GT-12,Gleyber Torres,New York Yankees,
GT-13,Gleyber Torres,New York Yankees,
GT-14,Gleyber Torres,New York Yankees,
GT-15,Gleyber Torres,New York Yankees,
GT-16,Gleyber Torres,New York Yankees,
GT-17,Gleyber Torres,New York Yankees,
GT-18,Gleyber Torres,New York Yankees,
GT-19,Gleyber Torres,New York Yankees,
GT-20,Gleyber Torres,New York Yankees,
GT-21,Gleyber Torres,New York Yankees,RC
GT-22,Gleyber Torres,New York Yankees,
GT-23,Gleyber Torres,New York Yankees,
GT-24,Gleyber Torres,New York Yankees,
GT-25,Gleyber Torres,New York Yankees,
GT-26,Gleyber Torres,New York Yankees,
GT-27,Gleyber Torres,New York Yankees,
GT-28,Gleyber Torres,New York Yankees,
GT-29,Gleyber Torres,New York Yankees,
GT-30,Gleyber Torres,New York Yankees,
