card_number,name,team,designations
RA-1,Ronald Acuña Jr.,Atlanta Braves,
RA-2,Ronald Acuña Jr.,Atlanta Braves,
RA-3,Ronald Acuña Jr.,Atlanta Braves,
RA-4,Ronald Acuña Jr.,Atlanta Braves,
RA-5,Ronald Acuña Jr.,Atlanta Braves,
RA-6,Ronald Acuña Jr.,Atlanta Braves,
RA-7,Ronald Acuña Jr.,Atlanta Braves,
RA-8,Ronald Acuña Jr.,Atlanta Braves,
RA-9,Ronald Acuña Jr.,Atlanta Braves,
RA-10,Ronald Acuña Jr.,Atlanta Braves,
RA-11,Ronald Acuña Jr.,Atlanta Braves,
RA-12,Ronald Acuña Jr.,Atlanta Braves,
RA-13,Ronald Acuña Jr.,Atlanta Braves,
RA-14,Ronald Acuña Jr.,Atlanta Braves,
RA-15,Ronald Acuña Jr.,Atlanta Braves,
RA-16,Ronald Acuña Jr.,Atlanta Braves,
RA-17,Ronald Acuña Jr.,Atlanta Braves,
RA-18,Ronald Acuña Jr.,Atlanta Braves,
RA-19,Ronald Acuña Jr.,Atlanta Braves,
RA-20,Ronald Acuña Jr.,Atlanta Braves,
RA-21,Ronald Acuña Jr.,Atlanta Braves,
RA-22,Ronald Acuña Jr.,Atlanta Braves,
RA-23,Ronald Acuña Jr.,Atlanta Braves,
RA-24,Ronald Acuña Jr.,Atlanta Braves,
RA-25,Ronald Acuña Jr.,Atlanta Braves,
RA-26,Ronald Acuña Jr.,Atlanta Braves,
RA-27,Ronald Acuña Jr.,Atlanta Braves,
RA-28,Ronald Acuña Jr.,Atlanta Braves,
RA-29,Ronald Acuña Jr.,Atlanta Braves,
RA-30,Ronald Acuña Jr.,Atlanta Braves,
