card_number,name,team,designations
84R-AB,Adrian Beltre,Texas Rangers,
84R-ABE,Andrew Benintendi,Boston Red Sox,
84R-AJ,Aaron Judge,New York Yankees,
84R-AP,Albert Pujols,Angels,
84R-AR,Anthony Rizzo,Chicago Cubs,
84R-BC,Brandon Crawford,San Francisco Giants,
84R-BP,Buster Posey,San Francisco Giants,
84R-CC,Carlos Correa,Houston Astros,
84R-CK,Clayton Kershaw,Los Angeles Dodgers,
84R-CR,Cal Ripken Jr.,Baltimore Orioles,
84R-CS,Corey Seager,Los Angeles Dodgers,
84R-CSA,Chris Sale,Boston Red Sox,
84R-DM,Don Mattingly,New York Yankees,
84R-EM,Eddie Murray,Baltimore Orioles,
84R-FF,Freddie Freeman,Atlanta Braves,
84R-FL,Francisco Lindor,Cleveland Indians,
84R-JA,Jose Abreu,Chicago White Sox,
84R-JAL,Jose Altuve,Houston Astros,
84R-JB,Javier Baez,Chicago Cubs,
84R-JM,Joe Mauer,Minnesota Twins,
84R-JV,Joey Votto,Cincinnati Reds,
84R-JVE,Justin Verlander,Houston Astros,
84R-Jd,Jacob deGrom,New York Mets,
84R-KBR,Kris Bryant,Chicago Cubs,
84R-MB,Mookie Betts,Boston Red Sox,
84R-MH,Mitch Haniger,Seattle Mariners,
84R-MS,Max Scherzer,Washington Nationals,
84R-MT,Mike Trout,Angels,
84R-NA,Nolan Arenado,Colorado Rockies,
84R-NC,Nicholas Castellanos,Detroit Tigers,
84R-NR,Nolan Ryan,Houston Astros,
84R-NS,Noah Syndergaard,New York Mets,
84R-OA,Ozzie Albies,Atlanta Braves,
84R-OS,Ozzie Smith,St. Louis Cardinals,
84R-PG,Paul Goldschmidt,Arizona Diamondbacks,
84R-RA,Ronald Acuña Jr.,Atlanta Braves,
84R-RH,Rickey Henderson,Oakland Athletics,
84R-RHO,Rhys Hoskins,Philadelphia Phillies,
84R-RJ,Reggie Jackson,California Angels,
84R-RY,Robin Yount,Milwaukee Brewers,
84R-SO,Shohei Ohtani,Angels,
84R-TM,Trey Mancini,Baltimore Orioles,
84R-TT,Trea Turner,Washington Nationals,
84R-WB,Wade Boggs,Boston Red Sox,
84R-WM,Wil Myers,San Diego Padres,
84R-YM,Yadier Molina,St. Louis Cardinals,
