card_number,name,team,designations
MLAR-AJ,Aaron Judge,New York Yankees,
MLAR-AR,Anthony Rizzo,Chicago Cubs,
MLAR-BS,Blake Snell,Tampa Bay Rays,
MLAR-CS,Chris Sale,Boston Red Sox,
MLAR-CY,Christian Yelich,Milwaukee Brewers,
MLAR-DG,Didi Gregorius,New York Yankees,
MLAR-DP,Dustin Pedroia,Boston Red Sox,
MLAR-FF,Freddie Freeman,Atlanta Braves,
MLAR-GS,George Springer,Houston Astros,
MLAR-GSA,Gary Sanchez,New York Yankees,
MLAR-JA,Jesus Aguilar,Milwaukee Brewers,
MLAR-JSO,Juan Soto,Washington Nationals,
MLAR-Jd,Jacob deGrom,New York Mets,
MLAR-KB,Kris Bryant,Chicago Cubs,
MLAR-KD,Khris Davis,Oakland Athletics,
MLAR-KS,Kyle Schwarber,Chicago Cubs,
MLAR-KT,Kyle Tucker,Houston Astros,RC
MLAR-LS,Luis Severino,New York Yankees,
MLAR-MH,Mitch Haniger,Seattle Mariners,
MLAR-MM,Manny Machado,Los Angeles Dodgers,
MLAR-MO,Matt Olson,Oakland Athletics,
MLAR-MT,Mike Trout,Angels,
MLAR-NS,Noah Syndergaard,New York Mets,
MLAR-OA,Ozzie Albies,Atlanta Braves,
MLAR-PG,Paul Goldschmidt,Arizona Diamondbacks,
MLAR-RH,Rhys Hoskins,Philadelphia Phillies,
MLAR-SMA,Starling Marte,Pittsburgh Pirates,
MLAR-SO,Shohei Ohtani,Angels,
MLAR-SP,Salvador Perez,Kansas City Royals,
MLAR-TS,Travis Shaw,Milwaukee Brewers,
MLAR-TST,Trevor Story,Colorado Rockies,
MLAR-WC,Willson Contreras,Chicago Cubs,
MLAR-YM,Yadier Molina,St. Louis Cardinals,
