card_number,name,team,designations
MLM-AB,Alex Bregman,Houston Astros,
MLM-ABE,Andrew Benintendi,Boston Red Sox,
MLM-AM,Andrew McCutchen,Philadelphia Phillies,
MLM-AR,Anthony Rizzo,Chicago Cubs,
MLM-BB,Byron Buxton,Minnesota Twins,
MLM-BH,Bryce Harper,Washington Nationals,
MLM-CA,Chris Archer,Pittsburgh Pirates,
MLM-CB,Cody Bellinger,Los Angeles Dodgers,
MLM-CK,Corey Kluber,Cleveland Indians,
MLM-CS,CC Sabathia,New York Yankees,
MLM-DG,Didi Gregorius,New York Yankees,
MLM-DO,David Ortiz,Boston Red Sox,
MLM-DP,David Price,Boston Red Sox,
MLM-DPE,Dustin Pedroia,Boston Red Sox,
MLM-DS,Dansby Swanson,Atlanta Braves,
MLM-EL,Evan Longoria,San Francisco Giants,
MLM-GS,George Springer,Houston Astros,
MLM-JD,Josh Donaldson,Atlanta Braves,
MLM-JG,Joey Gallo,Texas Rangers,
MLM-JH,Jason Heyward,Chicago Cubs,
MLM-JR,Jose Ramirez,Cleveland Indians,
MLM-JS,Justin Smoak,Toronto Blue Jays,
MLM-JT,Jameson Taillon,Pittsburgh Pirates,
MLM-JTO,Juan Soto,Washington Nationals,
MLM-KS,Kyle Schwarber,Chicago Cubs,
MLM-LC,Lorenzo Cain,Milwaukee Brewers,
MLM-LS,Luis Severino,New York Yankees,
MLM-MA,Miguel Andujar,New York Yankees,
MLM-MS,Miguel Sano,Minnesota Twins,
MLM-MST,Marcus Stroman,Toronto Blue Jays,
MLM-MT,Mike Trout,Angels,
MLM-PG,Paul Goldschmidt,St. Louis Cardinals,
MLM-RD,Rafael Devers,Boston Red Sox,
MLM-SG,Scooter Gennett,Cincinnati Reds,
MLM-SS,Stephen Strasburg,Washington Nationals,
MLM-TS,Trevor Story,Colorado Rockies,
MLM-TT,Troy Tulowitzki,New York Yankees,
MLM-VR,Victor Robles,Washington Nationals,
MLM-XB,Xander Bogaerts,Boston Red Sox,
MLM-YP,Yasiel Puig,Cincinnati Reds,
