card_number,name,team,designations
MLM-AB,Adrian Beltre,Texas Rangers,
MLM-ABE,Andrew Benintendi,Boston Red Sox,
MLM-AJ,Aaron Judge,New York Yankees,
MLM-AP,Albert Pujols,Angels,
MLM-ARI,Anthony Rizzo,Chicago Cubs,
MLM-BC,Brandon Crawford,San Francisco Giants,
MLM-BH,Bryce Harper,Washington Nationals,
MLM-BP,Buster Posey,San Francisco Giants,
MLM-CC,Carlos Correa,Houston Astros,
MLM-CK,Clayton Kershaw,Los Angeles Dodgers,
MLM-CS,Corey Seager,Los Angeles Dodgers,
MLM-CSA,Chris Sale,Boston Red Sox,
MLM-DP,Dustin Pedroia,Boston Red Sox,
MLM-EA,Elvis Andrus,Texas Rangers,
MLM-FF,Freddie Freeman,Atlanta Braves,
MLM-FL,Francisco Lindor,Cleveland Indians,
MLM-GS,Gary Sanchez,New York Yankees,
MLM-GT,Gleyber Torres,New York Yankees,
MLM-JA,Jose Altuve,Houston Astros,
MLM-JAB,Jose Abreu,Chicago White Sox,
MLM-JB,Javier Baez,Chicago Cubs,
MLM-JD,Josh Donaldson,Cleveland Indians,
MLM-JDE,Jacob deGrom,New York Mets,
MLM-JM,Joe Mauer,Minnesota Twins,
MLM-JS,Jean Segura,Seattle Mariners,
MLM-JV,Justin Verlander,Houston Astros,
MLM-JVO,Joey Votto,Cincinnati Reds,
MLM-KB,Kris Bryant,Chicago Cubs,
MLM-MB,Mookie Betts,Boston Red Sox,
MLM-MC,Michael Conforto,New York Mets,
MLM-MCA,Miguel Cabrera,Detroit Tigers,
MLM-MH,Mitch Haniger,Seattle Mariners,
MLM-MS,Max Scherzer,Washington Nationals,
MLM-MT,Mike Trout,Angels,
MLM-OA,Ozzie Albies,Atlanta Braves,
MLM-PG,Paul Goldschmidt,Arizona Diamondbacks,
MLM-RA,Ronald Acuña Jr.,Atlanta Braves,
MLM-RH,Rhys Hoskins,Philadelphia Phillies,
MLM-SO,Shohei Ohtani,Angels,
MLM-SP,Salvador Perez,Kansas City Royals,
MLM-TM,Trey Mancini,Baltimore Orioles,
MLM-TS,Travis Shaw,Milwaukee Brewers,
MLM-TT,Trea Turner,Washington Nationals,
MLM-WC,Willson Contreras,Chicago Cubs,
MLM-WM,Wil Myers,San Diego Padres,
MLM-YM,Yoan Moncada,Chicago White Sox,
MLM-YMO,Yadier Molina,St. Louis Cardinals,
