card_number,name,team,designations
GAP-AB,Alex Bregman,Houston Astros,
GAP-ABE,Andrew Benintendi,Boston Red Sox,
GAP-AJ,Aaron Judge,New York Yankees,
GAP-AR,Anthony Rizzo,Chicago Cubs,
GAP-BH,Bryce Harper,Philadelphia Phillies,
GAP-BP,Buster Posey,San Francisco Giants,
GAP-BS,Blake Snell,Tampa Bay Rays,
GAP-CBE,Cody Bellinger,Los Angeles Dodgers,
GAP-CC,Carlos Correa,Houston Astros,
GAP-CKE,Clayton Kershaw,Los Angeles Dodgers,
GAP-CS,Chris Sale,Boston Red Sox,
GAP-CY,Christian Yelich,Milwaukee Brewers,
GAP-FF,Freddie Freeman,Atlanta Braves,
GAP-FL,Francisco Lindor,Cleveland Indians,
GAP-GS,Giancarlo Stanton,New York Yankees,
GAP-GT,Gleyber Torres,New York Yankees,
GAP-JA,Jose Altuve,Houston Astros,
GAP-JAB,Jose Abreu,Chicago White Sox,
GAP-JB,Jose Berrios,Minnesota Twins,
GAP-JBZ,Javier Baez,Chicago Cubs,
GAP-JG,Joey Gallo,Texas Rangers,
GAP-JM,J.D. Martinez,Boston Red Sox,
GAP-JR,J.T. Realmuto,Philadelphia Phillies,
GAP-JRA,Jose Ramirez,Cleveland Indians,
GAP-JS,Juan Soto,Washington Nationals,
GAP-JSM,Justin Smoak,Toronto Blue Jays,
GAP-JV,Justin Verlander,Houston Astros,
GAP-JVO,Joey Votto,Cincinnati Reds,
GAP-Jd,Jacob deGrom,New York Mets,
GAP-KB,Kris Bryant,Chicago Cubs,
GAP-KD,Khris Davis,Oakland Athletics,
GAP-MB,Mookie Betts,Boston Red Sox,
GAP-MC,Matt Carpenter,St. Louis Cardinals,
GAP-MCA,Miguel Cabrera,Detroit Tigers,
GAP-MCH,Matt Chapman,Oakland Athletics,
GAP-MH,Mitch Haniger,Seattle Mariners,
GAP-MS,Max Scherzer,Washington Nationals,
GAP-MT,Mike Trout,Angels,
GAP-NA,Nolan Arenado,Colorado Rockies,
GAP-NS,Noah Syndergaard,New York Mets,
GAP-PG,Paul Goldschmidt,St. Louis Cardinals,
GAP-RA,Ronald Acuña Jr.,Atlanta Braves,
GAP-RH,Rhys Hoskins,Philadelphia Phillies,
GAP-SM,Starling Marte,Pittsburgh Pirates,
GAP-SO,Shohei Ohtani,Angels,
GAP-SP,Salvador Perez,Kansas City Royals,
GAP-TM,Trey Mancini,Baltimore Orioles,
GAP-TS,Trevor Story,Colorado Rockies,
GAP-WM,Wil Myers,San Diego Padres,
GAP-YM,Yadier Molina,St. Louis Cardinals,
