card_number,name,team,designations
RHLP-AB,Alex Bregman,Houston Astros,
RHLP-ABR,Alex Bregman,Houston Astros,
RHLP-AN,Aaron Nola,Philadelphia Phillies,
RHLP-AR,Anthony Rizzo,Chicago Cubs,
RHLP-BS,Blake Snell,Tampa Bay Rays,
RHLP-CC,Carlos Correa,Houston Astros,
RHLP-CK,Clayton Kershaw,Los Angeles Dodgers,
RHLP-CY,Christian Yelich,Milwaukee Brewers,
RHLP-DP,Dustin Pedroia,Boston Red Sox,
RHLP-DS,Dansby Swanson,Atlanta Braves,
RHLP-EA,Elvis Andrus,Texas Rangers,
RHLP-FF,Freddie Freeman,Atlanta Braves,
RHLP-FL,Francisco Lindor,Cleveland Indians,
RHLP-GS,George Springer,Houston Astros,
RHLP-JAB,Jose Abreu,Chicago White Sox,
RHLP-JAL,Jose Altuve,Houston Astros,
RHLP-JD,Jacob deGrom,New York Mets,
RHLP-JM,Joe Mauer,Minnesota Twins,
RHLP-JR,Jose Ramirez,Cleveland Indians,
RHLP-LC,Lorenzo Cain,Milwaukee Brewers,
RHLP-MB,Mookie Betts,Boston Red Sox,
RHLP-MC,Michael Conforto,New York Mets,
RHLP-MK,Matt Kemp,Los Angeles Dodgers,
RHLP-MT,Mike Trout,Angels,
RHLP-MTR,Mike Trout,Angels,
RHLP-NS,Noah Syndergaard,New York Mets,
RHLP-OA,Ozzie Albies,Atlanta Braves,
RHLP-PG,Paul Goldschmidt,Arizona Diamondbacks,
RHLP-RC,Robinson Cano,Seattle Mariners,
RHLP-RH,Rhys Hoskins,Philadelphia Phillies,
RHLP-SM,Starling Marte,Pittsburgh Pirates,
RHLP-SO,Shohei Ohtani,Angels,
RHLP-TMA,Trey Mancini,Baltimore Orioles,
RHLP-TS,Travis Shaw,Milwaukee Brewers,
RHLP-WM,Wil Myers,San Diego Padres,
RHLP-XB,Xander Bogaerts,Boston Red Sox,
RHLP-YM,Yadier Molina,St. Louis Cardinals,
RHLP-YMO,Yoan Moncada,Chicago White Sox,
RHLP-ZG,Zack Greinke,Arizona Diamondbacks,
