card_number,name,team,designations
SSAR-AC,Alex Colome,Seattle Mariners,
SSAR-AJ,Aaron Judge,New York Yankees,
SSAR-BB,Byron Buxton,Minnesota Twins,
SSAR-BT,Blake Treinen,Oakland Athletics,
SSAR-HB,Harrison Bader,St. Louis Cardinals,
SSAR-JH,Jordan Hicks,St. Louis Cardinals,
SSAR-JHA,Josh Hader,Milwaukee Brewers,
SSAR-JHI,Jordan Hicks,St. Louis Cardinals,
SSAR-JJ,Jeremy Jeffress,Milwaukee Brewers,
SSAR-Jd,Jacob deGrom,New York Mets,
SSAR-KD,Khris Davis,Oakland Athletics,
SSAR-MM,Manny Machado,Los Angeles Dodgers,
