card_number,name,team,designations
SSR-AJD,Aaron Judge,New York Yankees,
SSR-AJU,Aaron Judge,New York Yankees,
SSR-BB,Byron Buxton,Minnesota Twins,
SSR-BT,Blake Treinen,Oakland Athletics,
SSR-GS,Giancarlo Stanton,New York Yankees,
SSR-HB,Harrison Bader,St. Louis Cardinals,
SSR-JG,Joey Gallo,Texas Rangers,
SSR-JH,Josh Hader,Milwaukee Brewers,
SSR-JHI,Jordan Hicks,St. Louis Cardinals,
SSR-JHK,Jordan Hicks,St. Louis Cardinals,
SSR-JM,J.D. Martinez,Boston Red Sox,
SSR-JMA,J.D. Martinez,Boston Red Sox,
SSR-JR,J.T. Realmuto,Miami Marlins,
SSR-Jd,Jacob deGrom,New York Mets,
SSR-KD,Khris Davis,Oakland Athletics,
SSR-LC,Lorenzo Cain,Milwaukee Brewers,
SSR-MB,Mookie Betts,Boston Red Sox,
SSR-MBT,Mookie Betts,Boston Red Sox,
SSR-MM,Manny Machado,Los Angeles Dodgers,
SSR-TS,Trevor Story,Colorado Rockies,
