card_number,name,team,designations
TRAP-APE,Andy Pettitte,Houston Astros,
TRAP-BS,Blake Snell,Tampa Bay Rays,
TRAP-JS,Justus Sheffield,New York Yankees,RC
TRAP-KT,Kyle Tucker,Houston Astros,RC
TRAP-MA,Miguel Andujar,New York Yankees,
TRAP-MCA,Matt Carpenter,St. Louis Cardinals,
TRAP-MR,Mariano Rivera,New York Yankees,
TRAP-TH,Torii Hunter,Angels,
TRAP-THE,Todd Helton,Colorado Rockies,
TRAP-VG,Vladimir Guerrero,Montréal Expos,
TRAP-CYA,Carl Yastrzemski,Boston Red Sox,
TRAP-YM,Yadier Molina,St. Louis Cardinals,
TRAP-CY,Christian Yelich,Milwaukee Brewers,
TRAP-OA,Ozzie Albies,Atlanta Braves,
TRAP-JDE,Jacob deGrom,New York Mets,
TRAP-JSM,John Smoltz,Atlanta Braves,
TRAP-BL,Barry Larkin,Cincinnati Reds,
TRAP-RD,Rafael Devers,Boston Red Sox,
TRAP-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays,RC
TRAP-WC,Willson Contreras,Chicago Cubs,
