card_number,name,team,designations
WCR-AN,Andrew Benintendi,Boston Red Sox,
WCR-BR,Brock Holt,Boston Red Sox,
WCR-CS,Chris Sale,Boston Red Sox,
WCR-CV,Christian Vazquez,Boston Red Sox,
WCR-DP,David Price,Boston Red Sox,
WCR-IK,Ian Kinsler,Boston Red Sox,
WCR-JB,Jackie Bradley Jr.,Boston Red Sox,
WCR-JM,J.D. Martinez,Boston Red Sox,
WCR-KI,Craig Kimbrel,Boston Red Sox,
WCR-MB,Matt Barnes,Boston Red Sox,
WCR-MO,Mookie Betts,Boston Red Sox,
WCR-RD,Rafael Devers,Boston Red Sox,
WCR-RP,Rick Porcello,Boston Red Sox,
WCR-XB,Xander Bogaerts,Boston Red Sox,
