card_number,name,team,designations
85BA-AKN,Andrew Knizner,St. Louis Cardinals,
85BA-DJ,Derek Jeter,New York Yankees,
85BA-LA,Luis Arraez,Minnesota Twins,
85BA-LTH,Lane Thomas,St. Louis Cardinals,
85BA-MBE,Matt Beaty,Los Angeles Dodgers,
85BA-ZP,Zach Plesac,Cleveland Indians,
85A-MB,Michel Baez,San Diego Padres,
85A-SB,Shane Bieber,Cleveland Indians,
85A-JDA,Jaylin Davis,San Francisco Giants,
85A-MD,Mauricio Dubon,San Francisco Giants,
85A-JFR,Jake Fraley,Seattle Mariners,
85A-LG,Lourdes Gurriel Jr.,Toronto Blue Jays,
85A-DH,Dakota Hudson,St. Louis Cardinals,
85A-DJ,Danny Jansen,Toronto Blue Jays,
85A-AJO,Andruw Jones,Atlanta Braves,
85A-BL,Brandon Lowe,Tampa Bay Rays,
85A-DPE,David Peralta,Arizona Diamondbacks,
85A-JRA,Jose Ramirez,Cleveland Indians,
85A-JRI,Jim Rice,Boston Red Sox,
85A-NSE,Nick Senzel,Cincinnati Reds,
85A-LS,Luis Severino,New York Yankees,
85A-TTO,Touki Toussaint,Atlanta Braves,
85A-KT,Kyle Tucker,Houston Astros,
85A-JU,Jose Urquidy,Houston Astros,
85A-TJZ,T.J. Zeuch,Toronto Blue Jays,
85A-WCA,Willi Castro,Detroit Tigers,
85A-DHA,Darwinzon Hernandez,Boston Red Sox,
85A-ARZ,Anthony Rizzo,Chicago Cubs,
85A-BBU,Byron Buxton,Minnesota Twins,
85A-LB,Lou Brock,St. Louis Cardinals,
85A-TG,Trent Grisham,Milwaukee Brewers,
85A-DMU,Dale Murphy,Atlanta Braves,
85A-CY,Christian Yelich,Milwaukee Brewers,
85A-CC,Carlos Carrasco,Cleveland Indians,
85A-WBU,Walker Buehler,Los Angeles Dodgers,
85A-AA,Adbert Alzolay,Chicago Cubs,
85A-TB,Trevor Bauer,Cincinnati Reds,
85A-JB,Jake Bauers,Cleveland Indians,
85A-KB,Kris Bryant,Chicago Cubs,
85A-GCA,Griffin Canning,Angels,
85A-MG,Mark Grace,Chicago Cubs,
85A-VGJ,Vladimir Guerrero,Montréal Expos,
85A-RHO,Rhys Hoskins,Philadelphia Phillies,
85A-CJ,Chipper Jones,Atlanta Braves,
85A-JMA,J.D. Martinez,Boston Red Sox,
85A-BM,Brendan McKay,Tampa Bay Rays,
85A-M,Mike Mussina,Baltimore Orioles,
85A-CP,Chris Paddack,San Diego Padres,
85A-MTH,Matt Thaiss,Angels,
85A-JL,Jesus Luzardo,Oakland Athletics,
85A-LR,Luis Robert,Chicago White Sox,
