card_number,name,team,designations
85C-1,Mike Trout,Angels,
85C-2,Shohei Ohtani,Angels,
85C-3,Ronald Acuña Jr.,Atlanta Braves,
85C-4,Cal Ripken Jr.,Baltimore Orioles,
85C-5,Rafael Devers,Boston Red Sox,
85C-6,Nico Hoerner,Chicago Cubs,RC
85C-8,Kris Bryant,Chicago Cubs,
85C-9,Ryne Sandberg,Chicago Cubs,
85C-10,Dylan Cease,Chicago White Sox,RC
85C-11,Frank Thomas,Chicago White Sox,
85C-13,Nolan Arenado,Colorado Rockies,
85C-14,Jose Altuve,Houston Astros,
85C-15,Nolan Ryan,Houston Astros,
85C-16,Yordan Alvarez,Houston Astros,RC
85C-17,Whit Merrifield,Kansas City Royals,
85C-18,Clayton Kershaw,Los Angeles Dodgers,
85C-19,Dustin May,Los Angeles Dodgers,RC
85C-20,Jordan Yamamoto,Miami Marlins,RC
85C-21,Christian Yelich,Milwaukee Brewers,
85C-22,Keston Hiura,Milwaukee Brewers,
85C-23,Max Kepler,Minnesota Twins,
85C-24,Darryl Strawberry,New York Mets,
85C-25,Jacob deGrom,New York Mets,
85C-26,Pete Alonso,New York Mets,
85C-27,Aaron Judge,New York Yankees,
85C-28,Don Mattingly,New York Yankees,
85C-29,Gleyber Torres,New York Yankees,
85C-30,Mark McGwire,Oakland Athletics,
85C-32,Manny Machado,San Diego Padres,
85C-33,Fernando Tatis Jr.,San Diego Padres,
85C-34,Sean Murphy,Oakland Athletics,RC
85C-35,Will Clark,San Francisco Giants,
85C-36,Ichiro,Seattle Mariners,
85C-37,Ken Griffey Jr.,Seattle Mariners,
85C-38,Paul Goldschmidt,St. Louis Cardinals,
85C-39,Kyle Lewis,Seattle Mariners,RC
85C-40,Brendan McKay,Tampa Bay Rays,RC
85C-41,Bo Bichette,Toronto Blue Jays,RC
85C-42,Vladimir Guerrero Jr.,Toronto Blue Jays,
85C-43,Juan Soto,Washington Nationals,
85C-44,Matt Thaiss,Angels,RC
85C-46,Aristides Aquino,Cincinnati Reds,RC
85C-47,Robel Garcia,Chicago Cubs,RC
85C-48,Gavin Lux,Los Angeles Dodgers,RC
85C-49,Jesus Luzardo,Oakland Athletics,RC
85C-50,Trent Grisham,Milwaukee Brewers,RC
